"Subject","site","Group","Sex","Age"
"William","kenya","young chimps","m",18
"Roy","kenya","young chimps","m",11
"Tess","kenya","young chimps","f",26
"Uruhara","kenya","young chimps","m",29
"Manno","kenya","young chimps","m",5
"Jane","kenya","young chimps","f",14
"Safari","kenya","old chimps","m",34
"Angela","kenya","old chimps","f",7
"Oscar","kenya","old chimps","m",21
"Judy","kenya","old chimps","f",35
"Alley","kenya","old chimps","f",31
"George","kenya","old chimps","m",15
"Ajabu","kenya","old chimps","f",10
"Saidia","kenya","old chimps","f",15
"Amizero","kenya","young chimps","f",NA
"Chipie","kenya","young chimps","f",NA
"Amahirwe","kenya","old chimps","m",5
"Alikaka","kenya","old chimps","m",5
"Zee","kenya","old chimps","m",5
"Edvard","kenya","old chimps","m",5
"Mwanzo","kenya","old chimps","f",5
"Mary","kenya","old chimps","f",5
"Julia","kenya","old chimps","f",5
"Cheetah","kenya","old chimps","f",5
"Kisa","kenya","young chimps","m",25
"Niyonkuru","kenya","young chimps","m",28
"Joy","kenya","young chimps","f",14
"Akela","kenya","young chimps","f",30
"Dufatanya","kenya","young chimps","f",27
"Bahati","kenya","young chimps","f",25
"Asega","uganda","Uganda","m",21
"Baluku","uganda","Uganda","m",21
"Kidogo","uganda","Uganda","f",35
"Kisembo","uganda","Uganda","m",20
"Medina","uganda","Uganda","f",12
"Nakuu","uganda","Uganda","f",18
"Indi","uganda","Uganda","m",19
"Pasa","uganda","Uganda","f",19
"Cocoa","uganda","Uganda","f",12
"Namukisa","uganda","Uganda","f",21
"Becky","uganda","Uganda","f",28
"Sally","uganda","Uganda","f",28
"Tumbo","uganda","Uganda","m",30
"Rambo","uganda","Uganda","m",15
"Kalema","uganda","Uganda","m",23
"Nkuumwa","uganda","Uganda","f",23
"Bwambale","uganda","Uganda","m",19
"Nani","uganda","Uganda","f",18
"Yoyo","uganda","Uganda","f",20
"Sara","uganda","Uganda","f",9
"Umutama","uganda","Uganda","m",23
"Umugenzi","uganda","Uganda","m",22
"Okech","uganda","Uganda","m",20
"Mawa","uganda","Uganda","m",23
"Bili","uganda","Uganda","f",21
