Subject	Site	Sex	Group	Age	Date	Day	Session	trial_number	Side	chose_side	correct	Comment	same_side_as_before
Chipie	kenya	f	young chimps	27	24/10/2018	15	1	1	r	l	0		
Chipie	kenya	f	young chimps	27	24/10/2018	15	1	2	l	l	1		1
Chipie	kenya	f	young chimps	27	24/10/2018	15	1	3	r	l	0		1
Chipie	kenya	f	young chimps	27	24/10/2018	15	1	4	l	l	1		1
Chipie	kenya	f	young chimps	27	24/10/2018	15	1	5	r	l	0		1
Chipie	kenya	f	young chimps	27	24/10/2018	15	1	6	l	r	0		0
Chipie	kenya	f	young chimps	27	24/10/2018	15	1	7	r	l	0		0
Chipie	kenya	f	young chimps	27	24/10/2018	15	1	8	l	l	1		1
Chipie	kenya	f	young chimps	27	24/10/2018	15	1	9	r	l	0		1
Chipie	kenya	f	young chimps	27	24/10/2018	15	1	10	l	r	0		0
Chipie	kenya	f	young chimps	27	24/10/2018	15	1	11	l	l	1		0
Chipie	kenya	f	young chimps	27	24/10/2018	15	1	12	r	l	0		1
Amizero	kenya	f	young chimps	29	24/10/2018	15	1	1	r	l	0		
Amizero	kenya	f	young chimps	29	24/10/2018	15	1	2	l	r	0		0
Amizero	kenya	f	young chimps	29	24/10/2018	15	1	3	r	l	0		0
Amizero	kenya	f	young chimps	29	24/10/2018	15	1	4	l	r	0		0
Amizero	kenya	f	young chimps	29	24/10/2018	15	1	5	r	l	0		0
Amizero	kenya	f	young chimps	29	24/10/2018	15	1	6	l	r	0		0
Amizero	kenya	f	young chimps	29	24/10/2018	15	1	7	l	r	0		1
Amizero	kenya	f	young chimps	29	24/10/2018	15	1	8	r	l	0		0
Amizero	kenya	f	young chimps	29	24/10/2018	15	1	9	r	l	0		1
Amizero	kenya	f	young chimps	29	24/10/2018	15	1	10	l	r	0		0
Amizero	kenya	f	young chimps	29	24/10/2018	15	1	11	l	r	0		1
Amizero	kenya	f	young chimps	29	24/10/2018	15	1	12	r	l	0		0
Uruhara	kenya	m	young chimps	29	24/10/2018	15	1	1	r	r	1		
Uruhara	kenya	m	young chimps	29	24/10/2018	15	1	2	l	r	0		1
Uruhara	kenya	m	young chimps	29	24/10/2018	15	1	3	r	l	0		0
Uruhara	kenya	m	young chimps	29	24/10/2018	15	1	4	l	r	0		0
Uruhara	kenya	m	young chimps	29	24/10/2018	15	1	5	r	l	0		0
Uruhara	kenya	m	young chimps	29	24/10/2018	15	1	6	l	l	1		1
Uruhara	kenya	m	young chimps	29	24/10/2018	15	1	7	l	r	0		0
Uruhara	kenya	m	young chimps	29	24/10/2018	15	1	8	r	l	0		0
Uruhara	kenya	m	young chimps	29	24/10/2018	15	1	9	r	l	0		1
Uruhara	kenya	m	young chimps	29	24/10/2018	15	1	10	l	r	0		0
Uruhara	kenya	m	young chimps	29	24/10/2018	15	1	11	l	l	1		0
Uruhara	kenya	m	young chimps	29	24/10/2018	15	1	12	r	l	0		1
Roy	kenya	m	young chimps	11	24/10/2018	15	1	1	r	l	0		
Roy	kenya	m	young chimps	11	24/10/2018	15	1	2	l	r	0		0
Roy	kenya	m	young chimps	11	24/10/2018	15	1	3	r	l	0		0
Roy	kenya	m	young chimps	11	24/10/2018	15	1	4	l	l	1		1
Roy	kenya	m	young chimps	11	24/10/2018	15	1	5	r	l	0		1
Roy	kenya	m	young chimps	11	24/10/2018	15	1	6	l	r	0		0
Roy	kenya	m	young chimps	11	24/10/2018	15	1	7	l	r	0		1
Roy	kenya	m	young chimps	11	24/10/2018	15	1	8	r	l	0		0
Roy	kenya	m	young chimps	11	24/10/2018	15	1	9	r	l	0		1
Roy	kenya	m	young chimps	11	24/10/2018	15	1	10	l	r	0		0
