Subject	site	Sex	Group	Age	Date	Day	Session	trial_number	open_cylinder	comment
Manno	kenya	m	young chimps	5	08/10/2018	3	1	1	0	
Manno	kenya	m	young chimps	5	08/10/2018	3	1	2	0	
Manno	kenya	m	young chimps	5	08/10/2018	3	1	3	0	
Manno	kenya	m	young chimps	5	08/10/2018	3	1	4	1	
Manno	kenya	m	young chimps	5	08/10/2018	3	1	5	0	
Manno	kenya	m	young chimps	5	08/10/2018	3	1	6	0	
Manno	kenya	m	young chimps	5	08/10/2018	3	1	7	1	
Manno	kenya	m	young chimps	5	08/10/2018	3	1	8	1	
Manno	kenya	m	young chimps	5	08/10/2018	3	1	9	0	
Manno	kenya	m	young chimps	5	08/10/2018	3	1	10	1	
Manno	kenya	m	young chimps	5	08/10/2018	3	1	11	0	
Manno	kenya	m	young chimps	5	08/10/2018	3	1	12	1	
William	kenya	m	young chimps	18	08/10/2018	3	1	1	0	
William	kenya	m	young chimps	18	08/10/2018	3	1	2	1	
William	kenya	m	young chimps	18	08/10/2018	3	1	3	0	
William	kenya	m	young chimps	18	08/10/2018	3	1	4	0	
William	kenya	m	young chimps	18	08/10/2018	3	1	5	0	
William	kenya	m	young chimps	18	08/10/2018	3	1	6	0	
William	kenya	m	young chimps	18	08/10/2018	3	1	7	1	"found some peanut kernels in the room, not from the experiment"
William	kenya	m	young chimps	18	08/10/2018	3	1	8	0	
William	kenya	m	young chimps	18	08/10/2018	3	1	9	0	
William	kenya	m	young chimps	18	08/10/2018	3	1	10	0	
William	kenya	m	young chimps	18	08/10/2018	3	1	11	0	
William	kenya	m	young chimps	18	08/10/2018	3	1	12	0	8 peanuts left at the end of the session
Uruhara	kenya	m	young chimps	29	08/10/2018	3	1	1	1	
Uruhara	kenya	m	young chimps	29	08/10/2018	3	1	2	0	
Uruhara	kenya	m	young chimps	29	08/10/2018	3	1	3	1	
Uruhara	kenya	m	young chimps	29	08/10/2018	3	1	4	1	
Uruhara	kenya	m	young chimps	29	08/10/2018	3	1	5	0	
Uruhara	kenya	m	young chimps	29	08/10/2018	3	1	6	1	
Uruhara	kenya	m	young chimps	29	08/10/2018	3	1	7	1	
Uruhara	kenya	m	young chimps	29	08/10/2018	3	1	8	1	
Uruhara	kenya	m	young chimps	29	08/10/2018	3	1	9	0	
Uruhara	kenya	m	young chimps	29	08/10/2018	3	1	10	0	
Uruhara	kenya	m	young chimps	29	08/10/2018	3	1	11	0	
Uruhara	kenya	m	young chimps	29	08/10/2018	3	1	12	1	
Roy	kenya	m	young chimps	11	08/10/2018	3	1	1	0	
Roy	kenya	m	young chimps	11	08/10/2018	3	1	2	0	
Roy	kenya	m	young chimps	11	08/10/2018	3	1	3	0	
Roy	kenya	m	young chimps	11	08/10/2018	3	1	4	1	
Roy	kenya	m	young chimps	11	08/10/2018	3	1	5	1	
Roy	kenya	m	young chimps	11	08/10/2018	3	1	6	0	
Roy	kenya	m	young chimps	11	08/10/2018	3	1	7	0	
Roy	kenya	m	young chimps	11	08/10/2018	3	1	8	1	
Roy	kenya	m	young chimps	11	08/10/2018	3	1	9	0	
Roy	kenya	m	young chimps	11	08/10/2018	3	1	10	0	
Roy	kenya	m	young chimps	11	08/10/2018	3	1	11	1	
Roy	kenya	m	young chimps	11	08/10/2018	3	1	12	1	
Tess	kenya	f	young chimps	26	09/10/2018	3	1	1	0	good footage
Tess	kenya	f	young chimps	26	09/10/2018	3	1	2	1	
Tess	kenya	f	young chimps	26	09/10/2018	3	1	3	0	
Tess	kenya	f	young chimps	26	09/10/2018	3	1	4	1	cracked one of the transparent cylinders and ate the food
Tess	kenya	f	young chimps	26	09/10/2018	3	1	5	1	
Tess	kenya	f	young chimps	26	09/10/2018	3	1	6	0	
Tess	kenya	f	young chimps	26	09/10/2018	3	1	7	1	
Tess	kenya	f	young chimps	26	09/10/2018	3	1	8	1	
Tess	kenya	f	young chimps	26	09/10/2018	3	1	9	0	
Tess	kenya	f	young chimps	26	09/10/2018	3	1	10	1	
Tess	kenya	f	young chimps	26	09/10/2018	3	1	11	1	
Tess	kenya	f	young chimps	26	09/10/2018	3	1	12	1	
Chipie	kenya	f	young chimps	27	10/10/2018	3	1	1	0	
Chipie	kenya	f	young chimps	27	10/10/2018	3	1	2	1	
Chipie	kenya	f	young chimps	27	10/10/2018	3	1	3	1	
Chipie	kenya	f	young chimps	27	10/10/2018	3	1	4	1	
Chipie	kenya	f	young chimps	27	10/10/2018	3	1	5	1	
Chipie	kenya	f	young chimps	27	10/10/2018	3	1	6	0	
Chipie	kenya	f	young chimps	27	10/10/2018	3	1	7	1	
Chipie	kenya	f	young chimps	27	10/10/2018	3	1	8	1	
Chipie	kenya	f	young chimps	27	10/10/2018	3	1	9	1	
Chipie	kenya	f	young chimps	27	10/10/2018	3	1	10	0	
Chipie	kenya	f	young chimps	27	10/10/2018	3	1	11	1	
Chipie	kenya	f	young chimps	27	10/10/2018	3	1	12	1	
Amizero	kenya	f	young chimps	29	10/10/2018	3	1	1	0	
Amizero	kenya	f	young chimps	29	10/10/2018	3	1	2	1	
Amizero	kenya	f	young chimps	29	10/10/2018	3	1	3	0	
Amizero	kenya	f	young chimps	29	10/10/2018	3	1	4	1	
Amizero	kenya	f	young chimps	29	10/10/2018	3	1	5	1	
Amizero	kenya	f	young chimps	29	10/10/2018	3	1	6	0	
Amizero	kenya	f	young chimps	29	10/10/2018	3	1	7	1	
Amizero	kenya	f	young chimps	29	10/10/2018	3	1	8	0	
Amizero	kenya	f	young chimps	29	10/10/2018	3	1	9	1	
Amizero	kenya	f	young chimps	29	10/10/2018	3	1	10	0	
Amizero	kenya	f	young chimps	29	10/10/2018	3	1	11	0	
Amizero	kenya	f	young chimps	29	10/10/2018	3	1	12	1	
Jane	kenya	f	young chimps	14	10/10/2018	3	1	1	1	exclude subject: she received experience with the transprent closed cylidners before the session due to remaining cylinders in one of the enclosures
Jane	kenya	f	young chimps	14	10/10/2018	3	1	2	1	
Jane	kenya	f	young chimps	14	10/10/2018	3	1	3	1	
Jane	kenya	f	young chimps	14	10/10/2018	3	1	4	1	
Jane	kenya	f	young chimps	14	10/10/2018	3	1	5	1	
Jane	kenya	f	young chimps	14	10/10/2018	3	1	6	1	
Jane	kenya	f	young chimps	14	10/10/2018	3	1	7	1	
Jane	kenya	f	young chimps	14	10/10/2018	3	1	8	1	
Jane	kenya	f	young chimps	14	10/10/2018	3	1	9	0	
Jane	kenya	f	young chimps	14	10/10/2018	3	1	10	1	
Jane	kenya	f	young chimps	14	10/10/2018	3	1	11	1	
Jane	kenya	f	young chimps	14	10/10/2018	3	1	12	1	
Zee	kenya	m	old chimps	18	14/10/2018	3	1	1	0	
Zee	kenya	m	old chimps	18	14/10/2018	3	1	2	1	
Zee	kenya	m	old chimps	18	14/10/2018	3	1	3	1	
Zee	kenya	m	old chimps	18	14/10/2018	3	1	4	0	
Zee	kenya	m	old chimps	18	14/10/2018	3	1	5	0	
Zee	kenya	m	old chimps	18	14/10/2018	3	1	6	1	
Zee	kenya	m	old chimps	18	14/10/2018	3	1	7	0	
Zee	kenya	m	old chimps	18	14/10/2018	3	1	8	0	
