Subject	site	Sex	Group	Age	Date	Day	Session	trial_number	correct	food_obtained	food_retrieved in the end	Comment
William	kenya	m	young chimps	18	10/10/2018	5	1	1	0			
William	kenya	m	young chimps	18	10/10/2018	5	1	2	0			
William	kenya	m	young chimps	18	10/10/2018	5	1	3	0			
William	kenya	m	young chimps	18	10/10/2018	5	1	4	1	0		
William	kenya	m	young chimps	18	10/10/2018	5	1	5	0			
William	kenya	m	young chimps	18	10/10/2018	5	1	6	0		4	
Roy	kenya	m	young chimps	11	10/10/2018	5	1	1	0			
Roy	kenya	m	young chimps	11	10/10/2018	5	1	2	0			
Roy	kenya	m	young chimps	11	10/10/2018	5	1	3	1	1		
Roy	kenya	m	young chimps	11	10/10/2018	5	1	4	0			
Roy	kenya	m	young chimps	11	10/10/2018	5	1	5	1	1		
Roy	kenya	m	young chimps	11	10/10/2018	5	1	6	1	1	7	
Tess	kenya	f	young chimps	26	10/10/2018	5	1	1	1	1		
Tess	kenya	f	young chimps	26	10/10/2018	5	1	2	1	1		
Tess	kenya	f	young chimps	26	10/10/2018	5	1	3	0			
Tess	kenya	f	young chimps	26	10/10/2018	5	1	4	0			
Tess	kenya	f	young chimps	26	10/10/2018	5	1	5	0			
Tess	kenya	f	young chimps	26	10/10/2018	5	1	6	1	1	4	
Uruhara	kenya	m	young chimps	29	11/10/2018	5	1	1	0			
Uruhara	kenya	m	young chimps	29	11/10/2018	5	1	2	0			
Uruhara	kenya	m	young chimps	29	11/10/2018	5	1	3	0			
Uruhara	kenya	m	young chimps	29	11/10/2018	5	1	4	1	1		
Uruhara	kenya	m	young chimps	29	11/10/2018	5	1	5	0			
Uruhara	kenya	m	young chimps	29	11/10/2018	5	1	6	0		6	
Manno	kenya	m	young chimps	5	11/10/2018	5	1	1	0			
Manno	kenya	m	young chimps	5	11/10/2018	5	1	2	1	1		
Manno	kenya	m	young chimps	5	11/10/2018	5	1	3	0			
Manno	kenya	m	young chimps	5	11/10/2018	5	1	4	1	1		
Manno	kenya	m	young chimps	5	11/10/2018	5	1	5	1	1		
Manno	kenya	m	young chimps	5	11/10/2018	5	1	6	0		7	
Jane	kenya	f	young chimps	14	11/10/2018	5	1	1	0			
Jane	kenya	f	young chimps	14	11/10/2018	5	1	2	1	0		
Jane	kenya	f	young chimps	14	11/10/2018	5	1	3	0			
Jane	kenya	f	young chimps	14	11/10/2018	5	1	4	0			
Jane	kenya	f	young chimps	14	11/10/2018	5	1	5	1			
Jane	kenya	f	young chimps	14	11/10/2018	5	1	6	0		7	
Safari	kenya	m	old chimps	34	16/11/2018	5	1	1	0			
Safari	kenya	m	old chimps	34	16/11/2018	5	1	2	0			
Safari	kenya	m	old chimps	34	16/11/2018	5	1	3	0			
Safari	kenya	m	old chimps	34	16/11/2018	5	1	4	1	1		
Safari	kenya	m	old chimps	34	16/11/2018	5	1	5	1	1		
Safari	kenya	m	old chimps	34	16/11/2018	5	1	6	1	1	5	
Angela	kenya	f	old chimps	7	16/11/2018	5	1	1	0			
Angela	kenya	f	old chimps	7	16/11/2018	5	1	2	0			
Angela	kenya	f	old chimps	7	16/11/2018	5	1	3	1	1		
Angela	kenya	f	old chimps	7	16/11/2018	5	1	4	0			
Angela	kenya	f	old chimps	7	16/11/2018	5	1	5	0			
Angela	kenya	f	old chimps	7	16/11/2018	5	1	6	0		6	
Oscar	kenya	m	old chimps	21	16/11/2018	5	1	1	0			
Oscar	kenya	m	old chimps	21	16/11/2018	5	1	2	0			
Oscar	kenya	m	old chimps	21	16/11/2018	5	1	3	0			
Oscar	kenya	m	old chimps	21	16/11/2018	5	1	4	0			
Oscar	kenya	m	old chimps	21	16/11/2018	5	1	5	0			
Oscar	kenya	m	old chimps	21	16/11/2018	5	1	6	0		6	
Judy	kenya	f	old chimps	35	16/11/2018	5	1	1	1	1		
Judy	kenya	f	old chimps	35	16/11/2018	5	1	2	0			
Judy	kenya	f	old chimps	35	16/11/2018	5	1	3	0			
Judy	kenya	f	old chimps	35	16/11/2018	5	1	4	1	1		
Judy	kenya	f	old chimps	35	16/11/2018	5	1	5	1	1		
Judy	kenya	f	old chimps	35	16/11/2018	5	1	6	1	1	5	
Alley	kenya	f	old chimps	31	16/11/2018	5	1	1	0			
Alley	kenya	f	old chimps	31	16/11/2018	5	1	2	1			
Alley	kenya	f	old chimps	31	16/11/2018	5	1	3	1			
Alley	kenya	f	old chimps	31	16/11/2018	5	1	4	0			
Alley	kenya	f	old chimps	31	16/11/2018	5	1	5	1	1		
Alley	kenya	f	old chimps	31	16/11/2018	5	1	6	0		6	
George	kenya	m	old chimps	15	16/11/2018	5	1	1	0			
George	kenya	m	old chimps	15	16/11/2018	5	1	2	0			
George	kenya	m	old chimps	15	16/11/2018	5	1	3	1	1		
George	kenya	m	old chimps	15	16/11/2018	5	1	4	0			
George	kenya	m	old chimps	15	16/11/2018	5	1	5	1			
George	kenya	m	old chimps	15	16/11/2018	5	1	6	1	1	3	
Ajabu	kenya	f	old chimps	10	16/11/2018	5	1	1	1	1		
Ajabu	kenya	f	old chimps	10	16/11/2018	5	1	2	1	1		
Ajabu	kenya	f	old chimps	10	16/11/2018	5	1	3	0			
Ajabu	kenya	f	old chimps	10	16/11/2018	5	1	4	0			
Ajabu	kenya	f	old chimps	10	16/11/2018	5	1	5	1	1		
Ajabu	kenya	f	old chimps	10	16/11/2018	5	1	6	1	1	8	
Saidia	kenya	f	old chimps	15	16/11/2018	5	1	1	1	1		
Saidia	kenya	f	old chimps	15	16/11/2018	5	1	2	0			
Saidia	kenya	f	old chimps	15	16/11/2018	5	1	3	1	1		
Saidia	kenya	f	old chimps	15	16/11/2018	5	1	4	0			
Saidia	kenya	f	old chimps	15	16/11/2018	5	1	5	0			
Saidia	kenya	f	old chimps	15	16/11/2018	5	1	6	0		3	
Safari	kenya	m	old chimps	34	17/11/2018	6	2	1	0			
Safari	kenya	m	old chimps	34	17/11/2018	6	2	2	0			
Safari	kenya	m	old chimps	34	17/11/2018	6	2	3	1	1		
Safari	kenya	m	old chimps	34	17/11/2018	6	2	4	0			
Safari	kenya	m	old chimps	34	17/11/2018	6	2	5	1	1		
Safari	kenya	m	old chimps	34	17/11/2018	6	2	6	1	1	7	
Angela	kenya	f	old chimps	7	17/11/2018	6	2	1	1	1		
Angela	kenya	f	old chimps	7	17/11/2018	6	2	2	0			
Angela	kenya	f	old chimps	7	17/11/2018	6	2	3	0			
Angela	kenya	f	old chimps	7	17/11/2018	6	2	4	0			
Angela	kenya	f	old chimps	7	17/11/2018	6	2	5	1	1		
Angela	kenya	f	old chimps	7	17/11/2018	6	2	6	1	1	7	
Oscar	kenya	m	old chimps	21	17/11/2018	6	2	1	0			
Oscar	kenya	m	old chimps	21	17/11/2018	6	2	2	0			
Oscar	kenya	m	old chimps	21	17/11/2018	6	2	3	0			
Oscar	kenya	m	old chimps	21	17/11/2018	6	2	4	1	1		
Oscar	kenya	m	old chimps	21	17/11/2018	6	2	5	1	1		
Oscar	kenya	m	old chimps	21	17/11/2018	6	2	6	0		7	
Judy	kenya	f	old chimps	35	17/11/2018	6	2	1	0			
Judy	kenya	f	old chimps	35	17/11/2018	6	2	2	1	1		
Judy	kenya	f	old chimps	35	17/11/2018	6	2	3	0			
Judy	kenya	f	old chimps	35	17/11/2018	6	2	4	0			
Judy	kenya	f	old chimps	35	17/11/2018	6	2	5	1	1		
Judy	kenya	f	old chimps	35	17/11/2018	6	2	6	1	1	7	
Alley	kenya	f	old chimps	31	17/11/2018	6	2	1	0			
Alley	kenya	f	old chimps	31	17/11/2018	6	2	2	1	1		
Alley	kenya	f	old chimps	31	17/11/2018	6	2	3	0			
Alley	kenya	f	old chimps	31	17/11/2018	6	2	4	0			
Alley	kenya	f	old chimps	31	17/11/2018	6	2	5	0			
Alley	kenya	f	old chimps	31	17/11/2018	6	2	6	1	1	4	
George	kenya	m	old chimps	15	17/11/2018	6	2	1	0			
George	kenya	m	old chimps	15	17/11/2018	6	2	2	0			
George	kenya	m	old chimps	15	17/11/2018	6	2	3	1	1		
George	kenya	m	old chimps	15	17/11/2018	6	2	4	0			
George	kenya	m	old chimps	15	17/11/2018	6	2	5	0		1	session stopped after 10 min
George	kenya	m	old chimps	15	17/11/2018	6	2	6				
Ajabu	kenya	f	old chimps	10	17/11/2018	6	2	1	0			
Ajabu	kenya	f	old chimps	10	17/11/2018	6	2	2	1	1		
Ajabu	kenya	f	old chimps	10	17/11/2018	6	2	3	0			
Ajabu	kenya	f	old chimps	10	17/11/2018	6	2	4	1	1		
Ajabu	kenya	f	old chimps	10	17/11/2018	6	2	5	1			
Ajabu	kenya	f	old chimps	10	17/11/2018	6	2	6	0		7	
Saidia	kenya	f	old chimps	15	17/11/2018	6	2	1	1	1		
Saidia	kenya	f	old chimps	15	17/11/2018	6	2	2	0			
Saidia	kenya	f	old chimps	15	17/11/2018	6	2	3	0			
Saidia	kenya	f	old chimps	15	17/11/2018	6	2	4	0			
Saidia	kenya	f	old chimps	15	17/11/2018	6	2	5	0		1	session stopped after 10 min
Saidia	kenya	f	old chimps	15	17/11/2018	6	2	6				
William	kenya	m	young chimps	18	14/10/2018	5	2	1	0			
William	kenya	m	young chimps	18	14/10/2018	5	2	2	1	1		
William	kenya	m	young chimps	18	14/10/2018	5	2	3	0			
William	kenya	m	young chimps	18	14/10/2018	5	2	4	1	1		
William	kenya	m	young chimps	18	14/10/2018	5	2	5	0			
William	kenya	m	young chimps	18	14/10/2018	5	2	6	0			
Roy	kenya	m	young chimps	11	14/10/2018	5	2	1	0			
Roy	kenya	m	young chimps	11	14/10/2018	5	2	2	0			
Roy	kenya	m	young chimps	11	14/10/2018	5	2	3	0			
Roy	kenya	m	young chimps	11	14/10/2018	5	2	4	1	0		
Roy	kenya	m	young chimps	11	14/10/2018	5	2	5	1	0		
Roy	kenya	m	young chimps	11	14/10/2018	5	2	6	1	1		
Tess	kenya	f	young chimps	26	14/10/2018	5	2	1	0			
Tess	kenya	f	young chimps	26	14/10/2018	5	2	2	0			
Tess	kenya	f	young chimps	26	14/10/2018	5	2	3	0			
Tess	kenya	f	young chimps	26	14/10/2018	5	2	4	1	1		
Tess	kenya	f	young chimps	26	14/10/2018	5	2	5	0			
Tess	kenya	f	young chimps	26	14/10/2018	5	2	6	1	1		
Uruhara	kenya	m	young chimps	29	14/10/2018	5	2	1	0			
Uruhara	kenya	m	young chimps	29	14/10/2018	5	2	2	0			
Uruhara	kenya	m	young chimps	29	14/10/2018	5	2	3	1	1		
Uruhara	kenya	m	young chimps	29	14/10/2018	5	2	4	0			
Uruhara	kenya	m	young chimps	29	14/10/2018	5	2	5	1	1		
Uruhara	kenya	m	young chimps	29	14/10/2018	5	2	6	1	1		
Manno	kenya	m	young chimps	5	14/10/2018	5	2	1	1	1		
Manno	kenya	m	young chimps	5	14/10/2018	5	2	2	0			
Manno	kenya	m	young chimps	5	14/10/2018	5	2	3	1	1		
Manno	kenya	m	young chimps	5	14/10/2018	5	2	4	1	0		
Manno	kenya	m	young chimps	5	14/10/2018	5	2	5	0			
Manno	kenya	m	young chimps	5	14/10/2018	5	2	6	1	1		
Jane	kenya	f	young chimps	14	14/10/2018	5	2	1	0			
Jane	kenya	f	young chimps	14	14/10/2018	5	2	2	0			
Jane	kenya	f	young chimps	14	14/10/2018	5	2	3	1			
Jane	kenya	f	young chimps	14	14/10/2018	5	2	4	1			
Jane	kenya	f	young chimps	14	14/10/2018	5	2	5	0			
Jane	kenya	f	young chimps	14	14/10/2018	5	2	6	1			
Amizero	kenya	f	young chimps		13/10/2018	5	1	1	0			
Amizero	kenya	f	young chimps		13/10/2018	5	1	2	1	1		
Amizero	kenya	f	young chimps		13/10/2018	5	1	3	0			
Amizero	kenya	f	young chimps		13/10/2018	5	1	4	0			
Amizero	kenya	f	young chimps		13/10/2018	5	1	5	1	1		
Amizero	kenya	f	young chimps		13/10/2018	5	1	6	1	1		
Amizero	kenya	f	young chimps	11	14/10/2018	5	2	1	0			
Amizero	kenya	f	young chimps	11	14/10/2018	5	2	2	0			
Amizero	kenya	f	young chimps	11	14/10/2018	5	2	3	0			
Amizero	kenya	f	young chimps	11	14/10/2018	5	2	4	0			
Amizero	kenya	f	young chimps	11	14/10/2018	5	2	5	0			
Amizero	kenya	f	young chimps	11	14/10/2018	5	2	6	0			
Chipie	kenya	f	young chimps		13/10/2018	5	1	1	0			
Chipie	kenya	f	young chimps		13/10/2018	5	1	2	0			
Chipie	kenya	f	young chimps		13/10/2018	5	1	3	1	1		
Chipie	kenya	f	young chimps		13/10/2018	5	1	4	1	0		
Chipie	kenya	f	young chimps		13/10/2018	5	1	5	1			
Chipie	kenya	f	young chimps		13/10/2018	5	1	6	0			
Chipie	kenya	f	young chimps	11	14/10/2018	5	2	1	1			
Chipie	kenya	f	young chimps	11	14/10/2018	5	2	2	0			
Chipie	kenya	f	young chimps	11	14/10/2018	5	2	3	0			
Chipie	kenya	f	young chimps	11	14/10/2018	5	2	4	1			
Chipie	kenya	f	young chimps	11	14/10/2018	5	2	5	0			
Chipie	kenya	f	young chimps	11	14/10/2018	5	2	6	1			
Amahirwe	kenya	m	old chimps	5	17/10/2018	5	1	1	0			
Amahirwe	kenya	m	old chimps	5	17/10/2018	5	1	2	0			
Amahirwe	kenya	m	old chimps	5	17/10/2018	5	1	3	0			
Amahirwe	kenya	m	old chimps	5	17/10/2018	5	1	4	1	1		
Amahirwe	kenya	m	old chimps	5	17/10/2018	5	1	5	1	1		
Amahirwe	kenya	m	old chimps	5	17/10/2018	5	1	6	1	1		
Amahirwe	kenya	m	old chimps	14	18/10/2018	5	2	1	0			
Amahirwe	kenya	m	old chimps	14	18/10/2018	5	2	2	1	1		
Amahirwe	kenya	m	old chimps	14	18/10/2018	5	2	3	0			
Amahirwe	kenya	m	old chimps	14	18/10/2018	5	2	4	1	1		
Amahirwe	kenya	m	old chimps	14	18/10/2018	5	2	5	0			
Amahirwe	kenya	m	old chimps	14	18/10/2018	5	2	6	0			
Alikaka	kenya	m	old chimps	5	17/10/2018	5	1	1	1	0		
Alikaka	kenya	m	old chimps	5	17/10/2018	5	1	2	0			
Alikaka	kenya	m	old chimps	5	17/10/2018	5	1	3	0			
Alikaka	kenya	m	old chimps	5	17/10/2018	5	1	4	0			
Alikaka	kenya	m	old chimps	5	17/10/2018	5	1	5	0			
Alikaka	kenya	m	old chimps	5	17/10/2018	5	1	6	1	1		
Alikaka	kenya	m	old chimps	14	18/10/2018	5	2	1	1	1		
Alikaka	kenya	m	old chimps	14	18/10/2018	5	2	2	0			
Alikaka	kenya	m	old chimps	14	18/10/2018	5	2	3	1	1		
Alikaka	kenya	m	old chimps	14	18/10/2018	5	2	4	0			
Alikaka	kenya	m	old chimps	14	18/10/2018	5	2	5	1	0		
Alikaka	kenya	m	old chimps	14	18/10/2018	5	2	6	0			
Zee	kenya	m	old chimps	5	17/10/2018	5	1	1	0			
Zee	kenya	m	old chimps	5	17/10/2018	5	1	2	1	1		
Zee	kenya	m	old chimps	5	17/10/2018	5	1	3	0			
Zee	kenya	m	old chimps	5	17/10/2018	5	1	4	0			
Zee	kenya	m	old chimps	5	17/10/2018	5	1	5	1	1		
Zee	kenya	m	old chimps	5	17/10/2018	5	1	6	0			
Zee	kenya	m	old chimps	14	18/10/2018	5	2	1	0			
Zee	kenya	m	old chimps	14	18/10/2018	5	2	2	0			
Zee	kenya	m	old chimps	14	18/10/2018	5	2	3	0			
Zee	kenya	m	old chimps	14	18/10/2018	5	2	4	0			
Zee	kenya	m	old chimps	14	18/10/2018	5	2	5	1	1		
Zee	kenya	m	old chimps	14	18/10/2018	5	2	6	1	1		
Edvard	kenya	m	old chimps	5	17/10/2018	5	1	1				
Edvard	kenya	m	old chimps	5	17/10/2018	5	1	2				
Edvard	kenya	m	old chimps	5	17/10/2018	5	1	3				
Edvard	kenya	m	old chimps	5	17/10/2018	5	1	4				
Edvard	kenya	m	old chimps	5	17/10/2018	5	1	5				
Edvard	kenya	m	old chimps	5	17/10/2018	5	1	6				
Edvard	kenya	m	old chimps	14	18/10/2018	5	2	1	0			
Edvard	kenya	m	old chimps	14	18/10/2018	5	2	2	0			
Edvard	kenya	m	old chimps	14	18/10/2018	5	2	3	1	1		
Edvard	kenya	m	old chimps	14	18/10/2018	5	2	4	0			
Edvard	kenya	m	old chimps	14	18/10/2018	5	2	5	0			
Edvard	kenya	m	old chimps	14	18/10/2018	5	2	6	0			
