Subject,Site,Gender,Group,Age,Trial,Type,Grid,2ndtask_initial,2ndtask_end,NrUntilfindGrid,choice P2,corr P2,choice01,choice01_x,choice01_y,food_x,food_y,distance_c01,choice1_correct,choice02,choice03,choice04,choice05,choice06,choice07,choice08,choice09,choice10,choice11,choice12,choice13,choice14,choice15,choice16,choice17,choice18,choice19,choice20,choice21,choice22,choice23,choice24,choice25,choice26,choice27,choice28,choice29,choice30,choice31,choice32,choice33,choice34,choice35,choice36,choice37,choice38,choice39,choice40,choice41,choice42,choice43,choice44,choice45,choice46,choice47,choice48,choice49,choice50,choice51,choice52,choice53,choice54,choice55,choice56,choice57,choice58,choice59,choice60
Ajabu,kenya,f,old chimps,10,1,warm-up,8,,,1,,,8,4,2,4,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajabu,kenya,f,old chimps,10,2,warm-up,3,,,5,,,10,2,3,3,1,2.236067977,0,11,8,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajabu,kenya,f,old chimps,10,1,test,9,1,2,12,1,0,11,3,3,1,3,2,0,12,8,7,3,5,1,6,10,14,13,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajabu,kenya,f,old chimps,10,2,test,6,3,1,35,1,1,11,3,3,2,2,1.414213562,0,12,7,8,12,10,9,5,1,2,3,7,13,14,10,9,13,14,10,7,16,8,7,11,15,14,13,9,5,10,13,14,15,10,6,,,,,,,,,,,,,,,,,,,,,,,,,
Ajabu,kenya,f,old chimps,10,3,test,10,2,3,1,2,0,10,2,3,2,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajabu,kenya,f,old chimps,10,4,test,12,3,2,1,1,0,12,4,3,4,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajabu,kenya,f,old chimps,10,5,test,2,2,1,8,1,1,11,3,3,2,1,2.236067977,0,10,6,7,12,8,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajabu,kenya,f,old chimps,10,6,test,11,1,3,2,1,0,10,2,3,3,3,1,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajabu,kenya,f,old chimps,10,7,test,5,1,2,5,1,0,10,2,3,1,2,1.414213562,0,11,6,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajabu,kenya,f,old chimps,10,8,test,3,3,2,7,1,0,10,2,3,3,1,2.236067977,0,11,7,5,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajabu,kenya,f,old chimps,10,9,test,14,1,3,1,1,0,14,2,4,2,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajabu,kenya,f,old chimps,10,10,test,8,2,1,12,1,1,11,3,3,4,2,1.414213562,0,12,16,15,14,9,5,1,2,3,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
