Subject,Site,Sex,Group,Age,Date,Day,Session,trial_number,Side,baited_Distractor,chose_side,correct,Comment,correct_check,side_change,box_change,dopple_change,chosen_distractor
Roy,kenya,m,young chimps,11,08/10/2018,3,1,1,r,heart,r,1,,1,,,,heart
Roy,kenya,m,young chimps,11,08/10/2018,3,1,2,l,green,r,0,,0,yes,yes,yes,heart
Roy,kenya,m,young chimps,11,08/10/2018,3,1,3,l,heart,r,0,,0,no,yes,no,green
Roy,kenya,m,young chimps,11,08/10/2018,3,1,4,r,green,l,0,,0,yes,yes,yes,heart
Roy,kenya,m,young chimps,11,08/10/2018,3,1,5,l,green,l,1,,1,yes,no,no,green
Roy,kenya,m,young chimps,11,08/10/2018,3,1,6,l,heart,l,1,,1,no,yes,no,heart
Roy,kenya,m,young chimps,11,08/10/2018,3,1,7,r,green,l,0,,0,yes,yes,yes,heart
Roy,kenya,m,young chimps,11,08/10/2018,3,1,8,r,heart,l,0,,0,no,yes,no,green
Roy,kenya,m,young chimps,11,08/10/2018,3,1,9,r,green,l,0,,0,no,yes,no,heart
Roy,kenya,m,young chimps,11,08/10/2018,3,1,10,r,heart,l,0,,0,no,yes,no,green
Roy,kenya,m,young chimps,11,08/10/2018,3,1,11,l,green,l,1,,1,yes,yes,yes,green
Roy,kenya,m,young chimps,11,08/10/2018,3,1,12,l,heart,l,1,,1,no,yes,no,heart
Roy,kenya,m,young chimps,11,08/10/2018,3,1,13,l,heart,l,1,,1,no,no,no,heart
Roy,kenya,m,young chimps,11,08/10/2018,3,1,14,r,heart,l,0,,0,yes,no,no,green
Roy,kenya,m,young chimps,11,08/10/2018,3,1,15,l,green,l,1,,1,yes,yes,yes,green
Roy,kenya,m,young chimps,11,08/10/2018,3,1,16,r,green,l,0,,0,yes,no,no,heart
Roy,kenya,m,young chimps,11,08/10/2018,3,1,17,l,heart,l,1,,1,yes,yes,yes,heart
Roy,kenya,m,young chimps,11,08/10/2018,3,1,18,l,green,l,1,,1,no,yes,no,green
Roy,kenya,m,young chimps,11,08/10/2018,3,1,19,r,green,l,0,,0,yes,no,no,heart
Roy,kenya,m,young chimps,11,08/10/2018,3,1,20,r,heart,l,0,,0,no,yes,no,green
Roy,kenya,m,young chimps,11,08/10/2018,3,1,21,l,green,l,1,,1,yes,yes,yes,green
Roy,kenya,m,young chimps,11,08/10/2018,3,1,22,l,heart,l,1,,1,no,yes,no,heart
Roy,kenya,m,young chimps,11,08/10/2018,3,1,23,r,heart,l,0,,0,yes,no,no,green
Roy,kenya,m,young chimps,11,08/10/2018,3,1,24,r,green,r,1,,1,no,yes,no,green
Zee,kenya,m,old chimps,18,14/10/2018,3,1,1,r,heart,l,0,,0,,,,green
Zee,kenya,m,old chimps,18,14/10/2018,3,1,2,l,green,r,0,,0,yes,yes,yes,heart
Zee,kenya,m,old chimps,18,14/10/2018,3,1,3,l,heart,r,0,,0,no,yes,no,green
Zee,kenya,m,old chimps,18,14/10/2018,3,1,4,r,green,l,0,,0,yes,yes,yes,heart
Zee,kenya,m,old chimps,18,14/10/2018,3,1,5,l,green,r,0,,0,yes,no,no,heart
Zee,kenya,m,old chimps,18,14/10/2018,3,1,6,l,heart,l,1,,1,no,yes,no,heart
Zee,kenya,m,old chimps,18,14/10/2018,3,1,7,r,green,l,0,,0,yes,yes,yes,heart
Zee,kenya,m,old chimps,18,14/10/2018,3,1,8,r,heart,r,1,,1,no,yes,no,heart
Zee,kenya,m,old chimps,18,14/10/2018,3,1,9,r,green,r,1,,1,no,yes,no,green
Zee,kenya,m,old chimps,18,14/10/2018,3,1,10,r,heart,r,1,,1,no,yes,no,heart
Zee,kenya,m,old chimps,18,14/10/2018,3,1,11,l,green,r,0,,0,yes,yes,yes,heart
Zee,kenya,m,old chimps,18,14/10/2018,3,1,12,l,heart,r,0,,0,no,yes,no,green
Zee,kenya,m,old chimps,18,14/10/2018,3,1,13,l,heart,l,1,,1,no,no,no,heart
Zee,kenya,m,old chimps,18,14/10/2018,3,1,14,r,heart,r,1,,1,yes,no,no,heart
Zee,kenya,m,old chimps,18,14/10/2018,3,1,15,l,green,l,1,,1,yes,yes,yes,green
Zee,kenya,m,old chimps,18,14/10/2018,3,1,16,r,green,r,1,,1,yes,no,no,green
Zee,kenya,m,old chimps,18,14/10/2018,3,1,17,l,heart,r,0,,0,yes,yes,yes,green
Zee,kenya,m,old chimps,18,14/10/2018,3,1,18,l,green,r,0,,0,no,yes,no,heart
Zee,kenya,m,old chimps,18,14/10/2018,3,1,19,r,green,r,1,,1,yes,no,no,green
Zee,kenya,m,old chimps,18,14/10/2018,3,1,20,r,heart,r,1,,1,no,yes,no,heart
Zee,kenya,m,old chimps,18,14/10/2018,3,1,21,l,green,r,0,,0,yes,yes,yes,heart
Zee,kenya,m,old chimps,18,14/10/2018,3,1,22,l,heart,l,1,,1,no,yes,no,heart
Zee,kenya,m,old chimps,18,14/10/2018,3,1,23,r,heart,l,0,,0,yes,no,no,green
Zee,kenya,m,old chimps,18,14/10/2018,3,1,24,r,green,r,1,,1,no,yes,no,green
Cheetah,kenya,f,old chimps,31,15/10/2018,3,1,1,r,heart,l,0,,0,,,,green
Cheetah,kenya,f,old chimps,31,15/10/2018,3,1,2,l,green,l,1,,1,yes,yes,yes,green
