Subject,site,Sex,Group,Age,Date,Day,Session,trial_number,correct,food_obtained,food_retrieved in the end,Comment,ForReliability
Roy,kenya,m,young chimps,11,10/10/2018,5,1,1,0,,,,1
Roy,kenya,m,young chimps,11,10/10/2018,5,1,2,0,,,,1
Roy,kenya,m,young chimps,11,10/10/2018,5,1,3,1,1,,,1
Roy,kenya,m,young chimps,11,10/10/2018,5,1,4,0,,,,1
Roy,kenya,m,young chimps,11,10/10/2018,5,1,5,1,1,,,1
Roy,kenya,m,young chimps,11,10/10/2018,5,1,6,1,1,7,,1
George,kenya,m,old chimps,15,16/11/2018,5,1,1,0,,,,1
George,kenya,m,old chimps,15,16/11/2018,5,1,2,0,,,,1
George,kenya,m,old chimps,15,16/11/2018,5,1,3,1,1,,,1
George,kenya,m,old chimps,15,16/11/2018,5,1,4,0,,,,1
George,kenya,m,old chimps,15,16/11/2018,5,1,5,1,,,,1
George,kenya,m,old chimps,15,16/11/2018,5,1,6,1,1,3,,1
Saidia,kenya,f,old chimps,15,16/11/2018,5,1,1,1,1,,,1
Saidia,kenya,f,old chimps,15,16/11/2018,5,1,2,0,,,,1
Saidia,kenya,f,old chimps,15,16/11/2018,5,1,3,1,1,,,1
Saidia,kenya,f,old chimps,15,16/11/2018,5,1,4,0,,,,1
Saidia,kenya,f,old chimps,15,16/11/2018,5,1,5,0,,,,1
Saidia,kenya,f,old chimps,15,16/11/2018,5,1,6,0,,3,,1
Ajabu,kenya,f,old chimps,10,17/11/2018,6,2,1,0,,,,1
Ajabu,kenya,f,old chimps,10,17/11/2018,6,2,2,1,1,,,1
Ajabu,kenya,f,old chimps,10,17/11/2018,6,2,3,0,,,,1
Ajabu,kenya,f,old chimps,10,17/11/2018,6,2,4,1,1,,,1
Ajabu,kenya,f,old chimps,10,17/11/2018,6,2,5,1,,,,1
Ajabu,kenya,f,old chimps,10,17/11/2018,6,2,6,0,,7,,1
Saidia,kenya,f,old chimps,15,17/11/2018,6,2,1,1,1,,,1
Saidia,kenya,f,old chimps,15,17/11/2018,6,2,2,0,,,,1
Saidia,kenya,f,old chimps,15,17/11/2018,6,2,3,0,,,,1
Saidia,kenya,f,old chimps,15,17/11/2018,6,2,4,0,,,,1
Saidia,kenya,f,old chimps,15,17/11/2018,6,2,5,0,,1,session stopped after 10 min,1
Saidia,kenya,f,old chimps,15,17/11/2018,6,2,6,,,,,1
William,kenya,m,young chimps,18,14/10/2018,5,2,1,0,,,,1
William,kenya,m,young chimps,18,14/10/2018,5,2,2,1,1,,,1
William,kenya,m,young chimps,18,14/10/2018,5,2,3,0,,,,1
William,kenya,m,young chimps,18,14/10/2018,5,2,4,1,1,,,1
William,kenya,m,young chimps,18,14/10/2018,5,2,5,0,,,,1
William,kenya,m,young chimps,18,14/10/2018,5,2,6,0,,,,1
Roy,kenya,m,young chimps,11,14/10/2018,5,2,1,0,,,,1
Roy,kenya,m,young chimps,11,14/10/2018,5,2,2,0,,,,1
Roy,kenya,m,young chimps,11,14/10/2018,5,2,3,0,,,,1
Roy,kenya,m,young chimps,11,14/10/2018,5,2,4,1,0,,,1
Roy,kenya,m,young chimps,11,14/10/2018,5,2,5,1,0,,,1
Roy,kenya,m,young chimps,11,14/10/2018,5,2,6,1,1,,,1
Jane,kenya,f,young chimps,14,14/10/2018,5,2,1,0,,,,1
Jane,kenya,f,young chimps,14,14/10/2018,5,2,2,0,,,,1
Jane,kenya,f,young chimps,14,14/10/2018,5,2,3,1,,,,1
Jane,kenya,f,young chimps,14,14/10/2018,5,2,4,1,,,,1
