Subject,site,Sex,Group,Age,Date,Day,Session,trial_number,correct,food_obtained,food_retrieved in the end,Comment,ForReliability
Roy,kenya,m,young chimps,11,10/10/2018,5,1,1,0,0,7,,1
Roy,kenya,m,young chimps,11,10/10/2018,5,1,2,1,1,7,,1
Roy,kenya,m,young chimps,11,10/10/2018,5,1,3,0,0,7,,1
Roy,kenya,m,young chimps,11,10/10/2018,5,1,4,1,1,7,,1
Roy,kenya,m,young chimps,11,10/10/2018,5,1,5,1,1,7,,1
Roy,kenya,m,young chimps,11,10/10/2018,5,1,6,0,0,7,,1
George,kenya,m,old chimps,15,16/11/2018,5,1,1,0,0,3,chimp walked away from grid at 5:10. ,1
George,kenya,m,old chimps,15,16/11/2018,5,1,2,1,1,3,,1
George,kenya,m,old chimps,15,16/11/2018,5,1,3,0,0,3,,1
George,kenya,m,old chimps,15,16/11/2018,5,1,4,0,0,3,,1
George,kenya,m,old chimps,15,16/11/2018,5,1,5,0,0,3,,1
George,kenya,m,old chimps,15,16/11/2018,5,1,6,1,0,3,,1
Saidia,kenya,f,old chimps,15,16/11/2018,5,1,1,1,1,3,,1
Saidia,kenya,f,old chimps,15,16/11/2018,5,1,2,0,0,3,,1
Saidia,kenya,f,old chimps,15,16/11/2018,5,1,3,1,1,3,,1
Saidia,kenya,f,old chimps,15,16/11/2018,5,1,4,0,0,3,,1
Saidia,kenya,f,old chimps,15,16/11/2018,5,1,5,0,0,3,,1
Saidia,kenya,f,old chimps,15,16/11/2018,5,1,6,0,0,3,,1
Ajabu,kenya,f,old chimps,10,17/11/2018,6,2,1,1,1,7,,1
Ajabu,kenya,f,old chimps,10,17/11/2018,6,2,2,0,0,7,,1
Ajabu,kenya,f,old chimps,10,17/11/2018,6,2,3,1,1,7,,1
Ajabu,kenya,f,old chimps,10,17/11/2018,6,2,4,1,1,7,,1
Ajabu,kenya,f,old chimps,10,17/11/2018,6,2,5,0,0,7,,1
Ajabu,kenya,f,old chimps,10,17/11/2018,6,2,6,1,0,7,,1
Saidia,kenya,f,old chimps,15,17/11/2018,6,2,1,1,1,1,only 5 unique searches,1
Saidia,kenya,f,old chimps,15,17/11/2018,6,2,2,0,0,1,,1
Saidia,kenya,f,old chimps,15,17/11/2018,6,2,3,0,0,1,,1
Saidia,kenya,f,old chimps,15,17/11/2018,6,2,4,0,0,1,,1
Saidia,kenya,f,old chimps,15,17/11/2018,6,2,5,0,0,1,,1
Saidia,kenya,f,old chimps,15,17/11/2018,6,2,6,,,,,1
William,kenya,m,young chimps,18,14/10/2018,5,2,1,1,0,6,,1
William,kenya,m,young chimps,18,14/10/2018,5,2,2,0,0,6,,1
William,kenya,m,young chimps,18,14/10/2018,5,2,3,1,1,6,,1
William,kenya,m,young chimps,18,14/10/2018,5,2,4,0,0,6,,1
William,kenya,m,young chimps,18,14/10/2018,5,2,5,1,1,6,,1
William,kenya,m,young chimps,18,14/10/2018,5,2,6,0,0,6,,1
Roy,kenya,m,young chimps,11,14/10/2018,5,2,1,0,0,7,bait missing from box 12 (transparent),1
Roy,kenya,m,young chimps,11,14/10/2018,5,2,2,1,0,7,,1
Roy,kenya,m,young chimps,11,14/10/2018,5,2,3,1,0,7,,1
Roy,kenya,m,young chimps,11,14/10/2018,5,2,4,1,1,7,,1
Roy,kenya,m,young chimps,11,14/10/2018,5,2,5,1,1,7,,1
Roy,kenya,m,young chimps,11,14/10/2018,5,2,6,1,0,7,,1
Jane,kenya,f,young chimps,14,14/10/2018,5,2,1,1,1,7,,1
Jane,kenya,f,young chimps,14,14/10/2018,5,2,2,1,1,7,,1
Jane,kenya,f,young chimps,14,14/10/2018,5,2,3,0,0,7,,1
Jane,kenya,f,young chimps,14,14/10/2018,5,2,4,1,0,7,,1
Jane,kenya,f,young chimps,14,14/10/2018,5,2,5,1,1,7,,1
Jane,kenya,f,young chimps,14,14/10/2018,5,2,6,1,1,7,,1
Amizero,kenya,f,young chimps,11,14/10/2018,5,2,1,0,0,6,"missing bait in box 9-opaque, chimp took all the available reward",1
Amizero,kenya,f,young chimps,11,14/10/2018,5,2,2,1,0,6,,1
Amizero,kenya,f,young chimps,11,14/10/2018,5,2,3,0,0,6,,1
Amizero,kenya,f,young chimps,11,14/10/2018,5,2,4,0,0,6,,1
Amizero,kenya,f,young chimps,11,14/10/2018,5,2,5,0,0,6,,1
Amizero,kenya,f,young chimps,11,14/10/2018,5,2,6,0,0,6,,1
Chipie,kenya,f,young chimps,11,14/10/2018,5,2,1,1,1,6,missing bait in box 12- transparent,1
Chipie,kenya,f,young chimps,11,14/10/2018,5,2,2,0,0,6,,1
Chipie,kenya,f,young chimps,11,14/10/2018,5,2,3,0,0,6,,1
Chipie,kenya,f,young chimps,11,14/10/2018,5,2,4,1,1,6,,1
Chipie,kenya,f,young chimps,11,14/10/2018,5,2,5,0,0,6,,1
Chipie,kenya,f,young chimps,11,14/10/2018,5,2,6,1,0,6,,1
Mwanzo,kenya,f,old chimps,14,18/10/2018,5,2,1,0,0,7,,1
Mwanzo,kenya,f,old chimps,14,18/10/2018,5,2,2,1,1,7,,1
Mwanzo,kenya,f,old chimps,14,18/10/2018,5,2,3,1,0,7,,1
Mwanzo,kenya,f,old chimps,14,18/10/2018,5,2,4,1,0,7,,1
Mwanzo,kenya,f,old chimps,14,18/10/2018,5,2,5,1,0,7,,1
Mwanzo,kenya,f,old chimps,14,18/10/2018,5,2,6,0,0,7,,1
Niyonkuru,kenya,m,young chimps,28,10/11/2018,5,1,1,0,0,6,,1
Niyonkuru,kenya,m,young chimps,28,10/11/2018,5,1,2,0,0,6,,1
Niyonkuru,kenya,m,young chimps,28,10/11/2018,5,1,3,0,0,6,,1
Niyonkuru,kenya,m,young chimps,28,10/11/2018,5,1,4,0,0,6,,1
Niyonkuru,kenya,m,young chimps,28,10/11/2018,5,1,5,1,0,6,,1
Niyonkuru,kenya,m,young chimps,28,10/11/2018,5,1,6,1,0,6,,1
Joy,kenya,f,young chimps,14,10/11/2018,5,1,1,0,0,4,,1
Joy,kenya,f,young chimps,14,10/11/2018,5,1,2,1,1,4,,1
Joy,kenya,f,young chimps,14,10/11/2018,5,1,3,1,1,4,,1
Joy,kenya,f,young chimps,14,10/11/2018,5,1,4,0,0,4,,1
Joy,kenya,f,young chimps,14,10/11/2018,5,1,5,0,0,4,,1
Joy,kenya,f,young chimps,14,10/11/2018,5,1,6,0,0,4,,1
Akela,kenya,f,young chimps,30,10/11/2018,5,1,1,0,0,7,,1
Akela,kenya,f,young chimps,30,10/11/2018,5,1,2,1,1,7,,1
Akela,kenya,f,young chimps,30,10/11/2018,5,1,3,0,0,7,,1
Akela,kenya,f,young chimps,30,10/11/2018,5,1,4,1,0,7,,1
Akela,kenya,f,young chimps,30,10/11/2018,5,1,5,1,1,7,,1
Akela,kenya,f,young chimps,30,10/11/2018,5,1,6,1,1,7,,1
Dufatanya,kenya,f,young chimps,27,10/11/2018,5,1,1,1,1,5,,1
Dufatanya,kenya,f,young chimps,27,10/11/2018,5,1,2,0,0,5,,1
Dufatanya,kenya,f,young chimps,27,10/11/2018,5,1,3,1,0,5,,1
Dufatanya,kenya,f,young chimps,27,10/11/2018,5,1,4,0,0,5,,1
Dufatanya,kenya,f,young chimps,27,10/11/2018,5,1,5,0,0,5,,1
Dufatanya,kenya,f,young chimps,27,10/11/2018,5,1,6,0,0,5,,1
Nakuu,uganda,f,Uganda,18,19/10/2019,5,2,1,1,1,7,,1
Nakuu,uganda,f,Uganda,18,19/10/2019,5,2,2,0,0,7,,1
Nakuu,uganda,f,Uganda,18,19/10/2019,5,2,3,1,1,7,,1
Nakuu,uganda,f,Uganda,18,19/10/2019,5,2,4,1,1,7,,1
Nakuu,uganda,f,Uganda,18,19/10/2019,5,2,5,0,0,7,,1
Nakuu,uganda,f,Uganda,18,19/10/2019,5,2,6,1,1,7,,1
Becky,uganda,f,Uganda,28,09/11/2019,4,1,1,1,1,7,"As she touches the grid door 10 wobbles visibly, that is her first choice also. ",1
Becky,uganda,f,Uganda,28,09/11/2019,4,1,2,1,0,7,,1
Becky,uganda,f,Uganda,28,09/11/2019,4,1,3,1,1,7,,1
Becky,uganda,f,Uganda,28,09/11/2019,4,1,4,0,0,7,,1
Becky,uganda,f,Uganda,28,09/11/2019,4,1,5,0,0,7,,1
Becky,uganda,f,Uganda,28,09/11/2019,4,1,6,1,1,7,,1
Tumbo,uganda,m,Uganda,30,09/11/2019,4,1,1,0,0,7,,1
Tumbo,uganda,m,Uganda,30,09/11/2019,4,1,2,1,1,7,,1
Tumbo,uganda,m,Uganda,30,09/11/2019,4,1,3,0,0,7,,1
Tumbo,uganda,m,Uganda,30,09/11/2019,4,1,4,1,1,7,,1
Tumbo,uganda,m,Uganda,30,09/11/2019,4,1,5,0,0,7,,1
Tumbo,uganda,m,Uganda,30,09/11/2019,4,1,6,1,1,7,,1
Nkuumwa,uganda,f,Uganda,23,12/11/2019,4,1,1,1,1,7,,1
Nkuumwa,uganda,f,Uganda,23,12/11/2019,4,1,2,0,0,7,,1
Nkuumwa,uganda,f,Uganda,23,12/11/2019,4,1,3,1,1,7,,1
Nkuumwa,uganda,f,Uganda,23,12/11/2019,4,1,4,1,1,7,,1
Nkuumwa,uganda,f,Uganda,23,12/11/2019,4,1,5,1,1,7,,1
Nkuumwa,uganda,f,Uganda,23,12/11/2019,4,1,6,1,1,7,,1
Tumbo,uganda,m,Uganda,30,10/11/2019,4,2,1,0,0,7,,1
Tumbo,uganda,m,Uganda,30,10/11/2019,4,2,2,1,1,7,,1
Tumbo,uganda,m,Uganda,30,10/11/2019,4,2,3,1,1,7,,1
Tumbo,uganda,m,Uganda,30,10/11/2019,4,2,4,0,0,7,,1
Tumbo,uganda,m,Uganda,30,10/11/2019,4,2,5,1,1,7,,1
Tumbo,uganda,m,Uganda,30,10/11/2019,4,2,6,1,1,7,,1
Nani,uganda,f,Uganda,18,30/11/2019,5,1,1,1,1,7,,1
Nani,uganda,f,Uganda,18,30/11/2019,5,1,2,0,0,7,,1
Nani,uganda,f,Uganda,18,30/11/2019,5,1,3,1,1,7,,1
Nani,uganda,f,Uganda,18,30/11/2019,5,1,4,1,1,7,,1
Nani,uganda,f,Uganda,18,30/11/2019,5,1,5,1,1,7,,1
Nani,uganda,f,Uganda,18,30/11/2019,5,1,6,1,1,7,,1
Yoyo,uganda,f,Uganda,20,01/12/2019,6,2,1,1,1,7,,1
Yoyo,uganda,f,Uganda,20,01/12/2019,6,2,2,0,0,7,,1
Yoyo,uganda,f,Uganda,20,01/12/2019,6,2,3,1,1,7,,1
Yoyo,uganda,f,Uganda,20,01/12/2019,6,2,4,1,1,7,,1
Yoyo,uganda,f,Uganda,20,01/12/2019,6,2,5,0,0,7,,1
Yoyo,uganda,f,Uganda,20,01/12/2019,6,2,6,1,1,7,,1
