Subject,site,Sex,Group,Age,Date,Day,Session,trial_number,open_cylinder,comment
Roy,kenya,m,young chimps,11,08/10/2018,3,1,1,0,
Roy,kenya,m,young chimps,11,08/10/2018,3,1,2,0,
Roy,kenya,m,young chimps,11,08/10/2018,3,1,3,0,
Roy,kenya,m,young chimps,11,08/10/2018,3,1,4,1,
Roy,kenya,m,young chimps,11,08/10/2018,3,1,5,0,
Roy,kenya,m,young chimps,11,08/10/2018,3,1,6,0,
Roy,kenya,m,young chimps,11,08/10/2018,3,1,7,0,
Roy,kenya,m,young chimps,11,08/10/2018,3,1,8,1,
Roy,kenya,m,young chimps,11,08/10/2018,3,1,9,0,
Roy,kenya,m,young chimps,11,08/10/2018,3,1,10,0,
Roy,kenya,m,young chimps,11,08/10/2018,3,1,11,0,
Roy,kenya,m,young chimps,11,08/10/2018,3,1,12,1,
Tess,kenya,f,young chimps,26,09/10/2018,3,1,1,0,opened a clear box. 
Tess,kenya,f,young chimps,26,09/10/2018,3,1,2,1,
Tess,kenya,f,young chimps,26,09/10/2018,3,1,3,0,
Tess,kenya,f,young chimps,26,09/10/2018,3,1,4,1,
Tess,kenya,f,young chimps,26,09/10/2018,3,1,5,0,
Tess,kenya,f,young chimps,26,09/10/2018,3,1,6,0,
Tess,kenya,f,young chimps,26,09/10/2018,3,1,7,0,
Tess,kenya,f,young chimps,26,09/10/2018,3,1,8,0,
Tess,kenya,f,young chimps,26,09/10/2018,3,1,9,1,
Tess,kenya,f,young chimps,26,09/10/2018,3,1,10,0,
Tess,kenya,f,young chimps,26,09/10/2018,3,1,11,1,
Tess,kenya,f,young chimps,26,09/10/2018,3,1,12,1,
Chipie,kenya,f,young chimps,27,10/10/2018,3,1,1,0,
Chipie,kenya,f,young chimps,27,10/10/2018,3,1,2,1,
Chipie,kenya,f,young chimps,27,10/10/2018,3,1,3,1,
Chipie,kenya,f,young chimps,27,10/10/2018,3,1,4,1,
Chipie,kenya,f,young chimps,27,10/10/2018,3,1,5,1,
Chipie,kenya,f,young chimps,27,10/10/2018,3,1,6,0,
Chipie,kenya,f,young chimps,27,10/10/2018,3,1,7,0,
Chipie,kenya,f,young chimps,27,10/10/2018,3,1,8,1,
Chipie,kenya,f,young chimps,27,10/10/2018,3,1,9,1,
Chipie,kenya,f,young chimps,27,10/10/2018,3,1,10,0,
Chipie,kenya,f,young chimps,27,10/10/2018,3,1,11,1,
Chipie,kenya,f,young chimps,27,10/10/2018,3,1,12,0,
Niyonkuru,kenya,m,young chimps,28,08/11/2018,3,1,1,0,
Niyonkuru,kenya,m,young chimps,28,08/11/2018,3,1,2,0,
Niyonkuru,kenya,m,young chimps,28,08/11/2018,3,1,3,0,
Niyonkuru,kenya,m,young chimps,28,08/11/2018,3,1,4,1,
Niyonkuru,kenya,m,young chimps,28,08/11/2018,3,1,5,0,
Niyonkuru,kenya,m,young chimps,28,08/11/2018,3,1,6,0,
Niyonkuru,kenya,m,young chimps,28,08/11/2018,3,1,7,0,
Niyonkuru,kenya,m,young chimps,28,08/11/2018,3,1,8,1,
Niyonkuru,kenya,m,young chimps,28,08/11/2018,3,1,9,0,
Niyonkuru,kenya,m,young chimps,28,08/11/2018,3,1,10,0,"He took some of the cylinders to the pen next door, if we do not count those touches then searches 10-12 are 1."
Niyonkuru,kenya,m,young chimps,28,08/11/2018,3,1,11,0,
Niyonkuru,kenya,m,young chimps,28,08/11/2018,3,1,12,0,
Dufatanya,kenya,f,young chimps,27,08/11/2018,3,1,1,0,Coded from both cameras as she blocks view for camera 1. 
Dufatanya,kenya,f,young chimps,27,08/11/2018,3,1,2,0,
Dufatanya,kenya,f,young chimps,27,08/11/2018,3,1,3,0,
Dufatanya,kenya,f,young chimps,27,08/11/2018,3,1,4,0,
Dufatanya,kenya,f,young chimps,27,08/11/2018,3,1,5,1,
Dufatanya,kenya,f,young chimps,27,08/11/2018,3,1,6,0,
Dufatanya,kenya,f,young chimps,27,08/11/2018,3,1,7,0,
Dufatanya,kenya,f,young chimps,27,08/11/2018,3,1,8,1,
Dufatanya,kenya,f,young chimps,27,08/11/2018,3,1,9,0,
Dufatanya,kenya,f,young chimps,27,08/11/2018,3,1,10,0,
Dufatanya,kenya,f,young chimps,27,08/11/2018,3,1,11,0,
Dufatanya,kenya,f,young chimps,27,08/11/2018,3,1,12,1,
Alley,kenya,f,old chimps,31,12/11/2018,3,1,1,0,
Alley,kenya,f,old chimps,31,12/11/2018,3,1,2,0,
Alley,kenya,f,old chimps,31,12/11/2018,3,1,3,1,
Alley,kenya,f,old chimps,31,12/11/2018,3,1,4,0,
Alley,kenya,f,old chimps,31,12/11/2018,3,1,5,1,
Alley,kenya,f,old chimps,31,12/11/2018,3,1,6,0,
Alley,kenya,f,old chimps,31,12/11/2018,3,1,7,1,
Alley,kenya,f,old chimps,31,12/11/2018,3,1,8,0,
Alley,kenya,f,old chimps,31,12/11/2018,3,1,9,1,
Alley,kenya,f,old chimps,31,12/11/2018,3,1,10,0,
Alley,kenya,f,old chimps,31,12/11/2018,3,1,11,0,
Alley,kenya,f,old chimps,31,12/11/2018,3,1,12,1,
Safari,kenya,m,old chimps,34,13/11/2018,3,1,1,0,
Safari,kenya,m,old chimps,34,13/11/2018,3,1,2,1,
Safari,kenya,m,old chimps,34,13/11/2018,3,1,3,0,
Safari,kenya,m,old chimps,34,13/11/2018,3,1,4,0,
Safari,kenya,m,old chimps,34,13/11/2018,3,1,5,1,
Safari,kenya,m,old chimps,34,13/11/2018,3,1,6,1,
Safari,kenya,m,old chimps,34,13/11/2018,3,1,7,0,
Safari,kenya,m,old chimps,34,13/11/2018,3,1,8,1,
Safari,kenya,m,old chimps,34,13/11/2018,3,1,9,0,
Safari,kenya,m,old chimps,34,13/11/2018,3,1,10,0,
Safari,kenya,m,old chimps,34,13/11/2018,3,1,11,1,
Safari,kenya,m,old chimps,34,13/11/2018,3,1,12,0,
Uruhara,kenya,m,young chimps,29,10/10/2018,4,2,1,1,
Uruhara,kenya,m,young chimps,29,10/10/2018,4,2,2,1,
Uruhara,kenya,m,young chimps,29,10/10/2018,4,2,3,0,
Uruhara,kenya,m,young chimps,29,10/10/2018,4,2,4,1,
Uruhara,kenya,m,young chimps,29,10/10/2018,4,2,5,0,
Uruhara,kenya,m,young chimps,29,10/10/2018,4,2,6,1,
Uruhara,kenya,m,young chimps,29,10/10/2018,4,2,7,0,
Uruhara,kenya,m,young chimps,29,10/10/2018,4,2,8,0,
Uruhara,kenya,m,young chimps,29,10/10/2018,4,2,9,1,
Uruhara,kenya,m,young chimps,29,10/10/2018,4,2,10,0,
Uruhara,kenya,m,young chimps,29,10/10/2018,4,2,11,1,
Uruhara,kenya,m,young chimps,29,10/10/2018,4,2,12,0,
Chipie,kenya,f,young chimps,27,11/10/2018,4,2,1,0,
Chipie,kenya,f,young chimps,27,11/10/2018,4,2,2,1,
Chipie,kenya,f,young chimps,27,11/10/2018,4,2,3,1,
Chipie,kenya,f,young chimps,27,11/10/2018,4,2,4,0,
Chipie,kenya,f,young chimps,27,11/10/2018,4,2,5,1,
Chipie,kenya,f,young chimps,27,11/10/2018,4,2,6,1,
Chipie,kenya,f,young chimps,27,11/10/2018,4,2,7,1,
Chipie,kenya,f,young chimps,27,11/10/2018,4,2,8,1,
Chipie,kenya,f,young chimps,27,11/10/2018,4,2,9,1,
Chipie,kenya,f,young chimps,27,11/10/2018,4,2,10,1,
Chipie,kenya,f,young chimps,27,11/10/2018,4,2,11,1,
Chipie,kenya,f,young chimps,27,11/10/2018,4,2,12,1,
Amizero,kenya,f,young chimps,29,11/10/2018,4,2,1,1,
Amizero,kenya,f,young chimps,29,11/10/2018,4,2,2,0,
Amizero,kenya,f,young chimps,29,11/10/2018,4,2,3,0,
Amizero,kenya,f,young chimps,29,11/10/2018,4,2,4,0,
