Subject,site,Sex,Group,Age,Date,Day,Session,trial_number,open_cylinder,comment,ForReliability
Roy,kenya,m,young chimps,11,08/10/2018,3,1,1,0,,1
Roy,kenya,m,young chimps,11,08/10/2018,3,1,2,0,,1
Roy,kenya,m,young chimps,11,08/10/2018,3,1,3,0,,1
Roy,kenya,m,young chimps,11,08/10/2018,3,1,4,1,,1
Roy,kenya,m,young chimps,11,08/10/2018,3,1,5,1,,1
Roy,kenya,m,young chimps,11,08/10/2018,3,1,6,0,,1
Roy,kenya,m,young chimps,11,08/10/2018,3,1,7,0,,1
Roy,kenya,m,young chimps,11,08/10/2018,3,1,8,1,,1
Roy,kenya,m,young chimps,11,08/10/2018,3,1,9,0,,1
Roy,kenya,m,young chimps,11,08/10/2018,3,1,10,0,,1
Roy,kenya,m,young chimps,11,08/10/2018,3,1,11,1,,1
Roy,kenya,m,young chimps,11,08/10/2018,3,1,12,1,,1
Tess,kenya,f,young chimps,26,09/10/2018,3,1,1,0,good footage,1
Tess,kenya,f,young chimps,26,09/10/2018,3,1,2,1,,1
Tess,kenya,f,young chimps,26,09/10/2018,3,1,3,0,,1
Tess,kenya,f,young chimps,26,09/10/2018,3,1,4,1,cracked one of the transparent cylinders and ate the food,1
Tess,kenya,f,young chimps,26,09/10/2018,3,1,5,1,,1
Tess,kenya,f,young chimps,26,09/10/2018,3,1,6,0,,1
Tess,kenya,f,young chimps,26,09/10/2018,3,1,7,1,,1
Tess,kenya,f,young chimps,26,09/10/2018,3,1,8,1,,1
Tess,kenya,f,young chimps,26,09/10/2018,3,1,9,0,,1
Tess,kenya,f,young chimps,26,09/10/2018,3,1,10,1,,1
Tess,kenya,f,young chimps,26,09/10/2018,3,1,11,1,,1
Tess,kenya,f,young chimps,26,09/10/2018,3,1,12,1,,1
Chipie,kenya,f,young chimps,27,10/10/2018,3,1,1,0,,1
Chipie,kenya,f,young chimps,27,10/10/2018,3,1,2,1,,1
Chipie,kenya,f,young chimps,27,10/10/2018,3,1,3,1,,1
Chipie,kenya,f,young chimps,27,10/10/2018,3,1,4,1,,1
Chipie,kenya,f,young chimps,27,10/10/2018,3,1,5,1,,1
Chipie,kenya,f,young chimps,27,10/10/2018,3,1,6,0,,1
Chipie,kenya,f,young chimps,27,10/10/2018,3,1,7,1,,1
Chipie,kenya,f,young chimps,27,10/10/2018,3,1,8,1,,1
Chipie,kenya,f,young chimps,27,10/10/2018,3,1,9,1,,1
Chipie,kenya,f,young chimps,27,10/10/2018,3,1,10,0,,1
Chipie,kenya,f,young chimps,27,10/10/2018,3,1,11,1,,1
Chipie,kenya,f,young chimps,27,10/10/2018,3,1,12,1,,1
