Subject,Site,Sex,Species,Age,Date,Day,Session,trial_number,Condition,P1_baited,P2_baited,Choice_P1(1-4)_reli,Choice_P2(1-4)_reli,Comment
Safari,kenya,m,old chimps,34,43422,6,1,1,warm-up,2,,2,,
Safari,kenya,m,old chimps,34,43422,6,1,2,warm-up,4,,3,,
Safari,kenya,m,old chimps,34,43422,6,1,1,test,3,2,3,4,
Safari,kenya,m,old chimps,34,43422,6,1,2,test,4,3,4,4,
Safari,kenya,m,old chimps,34,43422,6,1,3,test,1,4,4,4,
Safari,kenya,m,old chimps,34,43422,6,1,4,test,2,1,3,2,
Safari,kenya,m,old chimps,34,43422,6,1,5,test,4,2,3,2,
Safari,kenya,m,old chimps,34,43422,6,1,6,test,1,1,4,1,
Safari,kenya,m,old chimps,34,43422,6,1,7,test,3,4,3,2,
Safari,kenya,m,old chimps,34,43422,6,1,8,test,2,3,4,3,
Alley,kenya,f,old chimps,31,43422,6,1,1,warm-up,2,,1,,
Alley,kenya,f,old chimps,31,43422,6,1,2,warm-up,4,,2,,
Alley,kenya,f,old chimps,31,43422,6,1,1,test,3,2,2,1,
Alley,kenya,f,old chimps,31,43422,6,1,2,test,4,3,2,1,
Alley,kenya,f,old chimps,31,43422,6,1,3,test,1,4,1,1,
Alley,kenya,f,old chimps,31,43422,6,1,4,test,2,2,1,2,
Alley,kenya,f,old chimps,31,43422,6,1,5,test,4,2,2,1,
Alley,kenya,f,old chimps,31,43422,6,1,6,test,1,1,2,1,
Alley,kenya,f,old chimps,31,43422,6,1,7,test,3,4,3,1,
Alley,kenya,f,old chimps,31,43422,6,1,8,test,2,3,4,1,
Judy,kenya,f,old chimps,35,43422,6,1,1,warm-up,2,,2,,
Judy,kenya,f,old chimps,35,43422,6,1,2,warm-up,4,,4,,
Judy,kenya,f,old chimps,35,43422,6,1,1,test,3,2,3,3,
Judy,kenya,f,old chimps,35,43422,6,1,2,test,4,3,4,3,
Judy,kenya,f,old chimps,35,43422,6,1,3,test,1,4,3,3,
Judy,kenya,f,old chimps,35,43422,6,1,4,test,2,1,4,3,
Judy,kenya,f,old chimps,35,43422,6,1,5,test,4,2,3,2,
Judy,kenya,f,old chimps,35,43422,6,1,6,test,1,1,2,4,
Judy,kenya,f,old chimps,35,43422,6,1,7,test,3,4,4,3,
Judy,kenya,f,old chimps,35,43422,6,1,8,test,2,3,3,3,
Manno,kenya,m,young chimps,5,43387,,1,1,warm-up,2,,1,,
Manno,kenya,m,young chimps,5,43387,,1,2,warm-up,4,,3,,
Manno,kenya,m,young chimps,5,43387,,1,1,test,3,2,1,4,Camera stopped after the first trial. 
Manno,kenya,m,young chimps,5,43387,,1,2,test,4,3,,,
Manno,kenya,m,young chimps,5,43387,,1,3,test,1,4,,,
Manno,kenya,m,young chimps,5,43387,,1,4,test,2,1,,,
Manno,kenya,m,young chimps,5,43387,,1,5,test,4,2,,,
Manno,kenya,m,young chimps,5,43387,,1,6,test,1,1,,,
Manno,kenya,m,young chimps,5,43387,,1,7,test,3,4,,,
Manno,kenya,m,young chimps,5,43387,,1,8,test,2,3,,,
Mwanzo,kenya,f,old chimps,22,43391,,1,1,warm-up,2,,3,,
Mwanzo,kenya,f,old chimps,22,43391,,1,2,warm-up,4,,4,,
Mwanzo,kenya,f,old chimps,22,43391,,1,1,test,3,2,4,3,
Mwanzo,kenya,f,old chimps,22,43391,,1,2,test,4,3,4,2,
Mwanzo,kenya,f,old chimps,22,43391,,1,3,test,1,4,4,2,
Mwanzo,kenya,f,old chimps,22,43391,,1,4,test,2,1,4,1,
Mwanzo,kenya,f,old chimps,22,43391,,1,5,test,4,2,4,2,
Mwanzo,kenya,f,old chimps,22,43391,,1,6,test,1,1,3,1,
Mwanzo,kenya,f,old chimps,22,43391,,1,7,test,3,4,2,2,
Mwanzo,kenya,f,old chimps,22,43391,,1,8,test,2,3,4,2,
Zee,kenya,m,old chimps,18,43387,,1,1,warm-up,2,,2,,
Zee,kenya,m,old chimps,18,43387,,1,2,warm-up,4,,4,,
Zee,kenya,m,old chimps,18,43387,,1,1,test,3,2,4,4,
Zee,kenya,m,old chimps,18,43387,,1,2,test,4,3,4,4,
Zee,kenya,m,old chimps,18,43387,,1,3,test,1,4,4,4,
Zee,kenya,m,old chimps,18,43387,,1,4,test,2,1,4,1,
Zee,kenya,m,old chimps,18,43387,,1,5,test,4,2,4,3,
Zee,kenya,m,old chimps,18,43387,,1,6,test,1,1,4,1,
Zee,kenya,m,old chimps,18,43387,,1,7,test,3,4,4,1,
Zee,kenya,m,old chimps,18,43387,,1,8,test,2,3,3,3,
Kisa,kenya,m,young chimps,25,43416,,1,1,warm-up,2,,4,,
Kisa,kenya,m,young chimps,25,43416,,1,2,warm-up,4,,4,,
Kisa,kenya,m,young chimps,25,43416,,1,1,test,3,2,3,4,
Kisa,kenya,m,young chimps,25,43416,,1,2,test,4,3,3,2,
Kisa,kenya,m,young chimps,25,43416,,1,3,test,1,4,1,3,
Kisa,kenya,m,young chimps,25,43416,,1,4,test,2,1,2,2,
Kisa,kenya,m,young chimps,25,43416,,1,5,test,4,2,2,2,
Kisa,kenya,m,young chimps,25,43416,,1,6,test,1,1,3,3,
Kisa,kenya,m,young chimps,25,43416,,1,7,test,3,4,3,3,
Kisa,kenya,m,young chimps,25,43416,,1,8,test,2,3,2,1,
Asega,uganda,m,Uganda,21,43756,6,1,1,warm-up,2,,4,,
Asega,uganda,m,Uganda,21,43756,6,1,2,warm-up,4,,4,,
Asega,uganda,m,Uganda,21,43756,6,1,1,test,3,2,1,3,
Asega,uganda,m,Uganda,21,43756,6,1,2,test,4,3,4,3,
Asega,uganda,m,Uganda,21,43756,6,1,3,test,1,4,1,1,
Asega,uganda,m,Uganda,21,43756,6,1,4,test,2,1,1,1,
Asega,uganda,m,Uganda,21,43756,6,1,5,test,4,2,1,1,
Asega,uganda,m,Uganda,21,43756,6,1,6,test,1,1,1,3,
Asega,uganda,m,Uganda,21,43756,6,1,7,test,3,4,1,1,
Asega,uganda,m,Uganda,21,43756,6,1,8,test,2,3,1,1,
Indi,uganda,m,Uganda,19,43757,6,1,1,warm-up,2,,2,,
Indi,uganda,m,Uganda,19,43757,6,1,2,warm-up,4,,4,,
Indi,uganda,m,Uganda,19,43757,6,1,1,test,3,2,3,4,
Indi,uganda,m,Uganda,19,43757,6,1,2,test,4,3,4,4,
Indi,uganda,m,Uganda,19,43757,6,1,3,test,1,4,1,4,
Indi,uganda,m,Uganda,19,43757,6,1,4,test,2,1,4,1,
Indi,uganda,m,Uganda,19,43757,6,1,5,test,4,2,4,3,
Indi,uganda,m,Uganda,19,43757,6,1,6,test,1,1,4,4,
Indi,uganda,m,Uganda,19,43757,6,1,7,test,3,4,3,4,
Indi,uganda,m,Uganda,19,43757,6,1,8,test,2,3,1,4,
Becky,uganda,f,Uganda,28,43778,6,1,1,warm-up,2,,2,,
Becky,uganda,f,Uganda,28,43778,6,1,2,warm-up,4,,4,,
Becky,uganda,f,Uganda,28,43778,6,1,1,test,3,2,3,4,
Becky,uganda,f,Uganda,28,43778,6,1,2,test,4,3,1,3,
Becky,uganda,f,Uganda,28,43778,6,1,3,test,1,4,2,4,
Becky,uganda,f,Uganda,28,43778,6,1,4,test,2,1,3,4,
Becky,uganda,f,Uganda,28,43778,6,1,5,test,4,2,4,4,
Becky,uganda,f,Uganda,28,43778,6,1,6,test,1,1,2,4,
Becky,uganda,f,Uganda,28,43778,6,1,7,test,3,4,2,4,
Becky,uganda,f,Uganda,28,43778,6,1,8,test,2,3,2,4,
Cocoa,uganda,f,Uganda,12,43779,6,1,1,warm-up,2,,2,,
Cocoa,uganda,f,Uganda,12,43779,6,1,2,warm-up,4,,4,,
Cocoa,uganda,f,Uganda,12,43779,6,1,1,test,3,2,4,4,
Cocoa,uganda,f,Uganda,12,43779,6,1,2,test,4,3,4,4,
Cocoa,uganda,f,Uganda,12,43779,6,1,3,test,1,4,4,4,
Cocoa,uganda,f,Uganda,12,43779,6,1,4,test,2,1,3,4,
Cocoa,uganda,f,Uganda,12,43779,6,1,5,test,4,2,3,2,
Cocoa,uganda,f,Uganda,12,43779,6,1,6,test,1,1,1,2,
Cocoa,uganda,f,Uganda,12,43779,6,1,7,test,3,4,4,4,
Cocoa,uganda,f,Uganda,12,43779,6,1,8,test,2,3,4,3,
Umugenzi,uganda,m,Uganda,22,43801,6,1,1,warm-up,2,,2,,
Umugenzi,uganda,m,Uganda,22,43801,6,1,2,warm-up,4,,4,,
Umugenzi,uganda,m,Uganda,22,43801,6,1,1,test,3,2,2,1,
Umugenzi,uganda,m,Uganda,22,43801,6,1,2,test,4,3,3,2,
Umugenzi,uganda,m,Uganda,22,43801,6,1,3,test,1,4,1,4,
Umugenzi,uganda,m,Uganda,22,43801,6,1,4,test,2,1,1,1,
Umugenzi,uganda,m,Uganda,22,43801,6,1,5,test,4,2,4,2,
Umugenzi,uganda,m,Uganda,22,43801,6,1,6,test,1,1,1,1,
Umugenzi,uganda,m,Uganda,22,43801,6,1,7,test,3,4,2,1,
Umugenzi,uganda,m,Uganda,22,43801,6,1,8,test,2,3,2,2,
William,kenya,m,young chimps,18,13/10/2018,,1,1,warm-up,2,,4,,"To replace Manno. Only coded the first 8 trials, the video had more. "
William,kenya,m,young chimps,18,13/10/2018,,1,2,warm-up,4,,4,,
William,kenya,m,young chimps,18,13/10/2018,,1,1,test,3,2,1,1,
William,kenya,m,young chimps,18,13/10/2018,,1,2,test,4,3,2,3,
William,kenya,m,young chimps,18,13/10/2018,,1,3,test,1,4,1,1,
William,kenya,m,young chimps,18,13/10/2018,,1,4,test,2,1,4,4,
William,kenya,m,young chimps,18,13/10/2018,,1,5,test,4,2,4,1,
William,kenya,m,young chimps,18,13/10/2018,,1,6,test,1,1,4,1,
William,kenya,m,young chimps,18,13/10/2018,,1,7,test,3,4,3,4,
William,kenya,m,young chimps,18,13/10/2018,,1,8,test,2,3,3,4,
