Subject,Site,Gender,Group,Age,Trial,Type,Grid_baited,choice01_reli,comment
Ajabu,kenya,f,old chimps,10,1,warm-up,8,8,
Ajabu,kenya,f,old chimps,10,2,warm-up,3,10,
Ajabu,kenya,f,old chimps,10,1,test,9,11,
Ajabu,kenya,f,old chimps,10,2,test,6,11,
Ajabu,kenya,f,old chimps,10,3,test,10,10,
Ajabu,kenya,f,old chimps,10,4,test,12,12,
Ajabu,kenya,f,old chimps,10,5,test,2,11,
Ajabu,kenya,f,old chimps,10,6,test,11,10,
Ajabu,kenya,f,old chimps,10,7,test,5,10,
Ajabu,kenya,f,old chimps,10,8,test,3,10,
Ajabu,kenya,f,old chimps,10,9,test,14,14,
Ajabu,kenya,f,old chimps,10,10,test,8,11,
Ajabu,kenya,f,old chimps,10,11,test,7,10,
Ajabu,kenya,f,old chimps,10,12,test,15,15,
Baluku,uganda,m,Uganda,21,1,warm-up,8,8,
Baluku,uganda,m,Uganda,21,2,warm-up,3,3,
Baluku,uganda,m,Uganda,21,1,test,9,10,
Baluku,uganda,m,Uganda,21,2,test,6,10,
Baluku,uganda,m,Uganda,21,3,test,10,10,
Baluku,uganda,m,Uganda,21,4,test,12,12,
Baluku,uganda,m,Uganda,21,5,test,2,6,
Baluku,uganda,m,Uganda,21,6,test,11,11,
Baluku,uganda,m,Uganda,21,7,test,5,10,
Baluku,uganda,m,Uganda,21,8,test,3,2,
Baluku,uganda,m,Uganda,21,9,test,14,10,
Baluku,uganda,m,Uganda,21,10,test,8,8,
Baluku,uganda,m,Uganda,21,11,test,7,7,
Baluku,uganda,m,Uganda,21,12,test,15,11,
Cocoa,uganda,f,Uganda,12,1,warm-up,8,7,wobbly door
Cocoa,uganda,f,Uganda,12,2,warm-up,3,8,
Cocoa,uganda,f,Uganda,12,1,test,9,11,
Cocoa,uganda,f,Uganda,12,2,test,6,11,
Cocoa,uganda,f,Uganda,12,3,test,10,10,
Cocoa,uganda,f,Uganda,12,4,test,12,12,
Cocoa,uganda,f,Uganda,12,5,test,2,7,
Cocoa,uganda,f,Uganda,12,6,test,11,10,
Cocoa,uganda,f,Uganda,12,7,test,5,11,
Cocoa,uganda,f,Uganda,12,8,test,3,7,
Cocoa,uganda,f,Uganda,12,9,test,14,10,wobbly door
Cocoa,uganda,f,Uganda,12,10,test,8,11,
Cocoa,uganda,f,Uganda,12,11,test,7,11,
Cocoa,uganda,f,Uganda,12,12,test,15,7,
Jane,kenya,f,young chimps,14,1,warm-up,8,8,
Jane,kenya,f,young chimps,14,2,warm-up,3,14,
Jane,kenya,f,young chimps,14,1,test,9,15,
Jane,kenya,f,young chimps,14,2,test,6,16,
Jane,kenya,f,young chimps,14,3,test,10,15,
Jane,kenya,f,young chimps,14,4,test,12,11,
Jane,kenya,f,young chimps,14,5,test,2,6,
Jane,kenya,f,young chimps,14,6,test,11,6,
Jane,kenya,f,young chimps,14,7,test,5,6,
Jane,kenya,f,young chimps,14,8,test,3,5,
Jane,kenya,f,young chimps,14,9,test,14,11,
Jane,kenya,f,young chimps,14,10,test,8,5,
Jane,kenya,f,young chimps,14,11,test,7,10,
Jane,kenya,f,young chimps,14,12,test,15,10,
Joy,kenya,f,young chimps,14,1,warm-up,8,3,"door 3 is slightly open, 15 is the second choice after investigating open door. "
Joy,kenya,f,young chimps,14,2,warm-up,3,6,door 3 is slightly open almost the entire testing session. 
Joy,kenya,f,young chimps,14,1,test,9,2,
Joy,kenya,f,young chimps,14,2,test,6,6,
Joy,kenya,f,young chimps,14,3,test,10,6,
Joy,kenya,f,young chimps,14,4,test,12,11,
Joy,kenya,f,young chimps,14,5,test,2,7,
Joy,kenya,f,young chimps,14,6,test,11,6,
Joy,kenya,f,young chimps,14,7,test,5,11,
Joy,kenya,f,young chimps,14,8,test,3,11,
Joy,kenya,f,young chimps,14,9,test,14,7,
Joy,kenya,f,young chimps,14,10,test,8,10,
Joy,kenya,f,young chimps,14,11,test,11,7,
Joy,kenya,f,young chimps,14,12,test,15,11,
Kisa,kenya,m,young chimps,25,1,warm-up,8,15,
Kisa,kenya,m,young chimps,25,2,warm-up,3,4,
Kisa,kenya,m,young chimps,25,1,test,9,11,
Kisa,kenya,m,young chimps,25,2,test,6,11,
Kisa,kenya,m,young chimps,25,3,test,10,10,
Kisa,kenya,m,young chimps,25,4,test,12,11,
