Subject	Site	Sex	Group	Age	Date	Day	Session	Condition	trial_number	Side	baited_distractor	chose_side	correct	Comment	side_changes	material_changes	chosen_distractor	SessionED
Ajabu	kenya	f	old chimps	10	21/11/2018	8	1	SD	1	r		r	1					
Ajabu	kenya	f	old chimps	10	21/11/2018	8	1	SD	2	l		r	0		yes			
Ajabu	kenya	f	old chimps	10	21/11/2018	8	1	SD	3	l		r	0		no			
Ajabu	kenya	f	old chimps	10	21/11/2018	8	1	SD	4	r		l	0		yes			
Ajabu	kenya	f	old chimps	10	21/11/2018	8	1	SD	5	l		r	0		yes			
Ajabu	kenya	f	old chimps	10	21/11/2018	8	1	SD	6	r		r	1		yes			
Ajabu	kenya	f	old chimps	10	21/11/2018	8	1	SD	7	l		r	0		yes			
Ajabu	kenya	f	old chimps	10	21/11/2018	8	1	SD	8	r		r	1		yes			
Ajabu	kenya	f	old chimps	10	21/11/2018	8	1	SD	9	l		r	0		yes			
Ajabu	kenya	f	old chimps	10	21/11/2018	8	1	SD	10	r		r	1		yes			
Ajabu	kenya	f	old chimps	10	21/11/2018	8	1	SD	11	r		r	1		no			
Ajabu	kenya	f	old chimps	10	21/11/2018	8	1	SD	12	l		r	0		yes			
Ajabu	kenya	f	old chimps	10	21/11/2018	8	1	SD	13	l		l	1		no			
Ajabu	kenya	f	old chimps	10	21/11/2018	8	1	SD	14	r		l	0		yes			
Ajabu	kenya	f	old chimps	10	21/11/2018	8	1	SD	15	r		r	1		no			
Ajabu	kenya	f	old chimps	10	21/11/2018	8	1	SD	16	l		r	0		yes			
Ajabu	kenya	f	old chimps	10	21/11/2018	8	1	SD	17	r		l	0		yes			
Ajabu	kenya	f	old chimps	10	21/11/2018	8	1	SD	18	l		r	0		yes			
Ajabu	kenya	f	old chimps	10	21/11/2018	8	1	SD	19	r		r	1		yes			
Ajabu	kenya	f	old chimps	10	21/11/2018	8	1	SD	20	l		r	0		yes			
Ajabu	kenya	f	old chimps	10	21/11/2018	8	1	SD	21	l		r	0		no			
Ajabu	kenya	f	old chimps	10	21/11/2018	8	1	SD	22	r		r	1		yes			
Ajabu	kenya	f	old chimps	10	21/11/2018	8	1	SD	23	r		l	0		no			
Ajabu	kenya	f	old chimps	10	21/11/2018	8	1	SD	24	l		r	0		yes			
Ajabu	kenya	f	old chimps	10	21/11/2018	8	1	SD	25	r		r	1		yes			
Ajabu	kenya	f	old chimps	10	21/11/2018	8	1	SD	26	l		r	0		yes			
Ajabu	kenya	f	old chimps	10	21/11/2018	8	1	SD	27	l		l	1	"stopped to approach platform, session stopped"	no			
Ajabu	kenya	f	old chimps	10	22/11/2018	8	2	SD	28	r		r	1		yes			
Ajabu	kenya	f	old chimps	10	22/11/2018	8	2	SD	29	l		r	0		yes			
Ajabu	kenya	f	old chimps	10	22/11/2018	8	2	SD	30	r		r	1		yes			
Ajabu	kenya	f	old chimps	10	22/11/2018	8	2	SD	31	l		l	1		yes			
Ajabu	kenya	f	old chimps	10	22/11/2018	8	2	SD	32	r		r	1		yes			
Ajabu	kenya	f	old chimps	10	22/11/2018	8	2	SD	33	l		r	0		yes			
Ajabu	kenya	f	old chimps	10	22/11/2018	8	2	SD	34	r		r	1		yes			
Ajabu	kenya	f	old chimps	10	22/11/2018	8	2	SD	35	r		r	1		no			
Ajabu	kenya	f	old chimps	10	22/11/2018	8	2	SD	36	l		l	1		yes			
Ajabu	kenya	f	old chimps	10	22/11/2018	8	2	SD	37	l		l	1		no			
Ajabu	kenya	f	old chimps	10	22/11/2018	8	2	SD	38	r		r	1		yes			
Ajabu	kenya	f	old chimps	10	22/11/2018	8	2	SD	39	r		r	1		no			
Ajabu	kenya	f	old chimps	10	22/11/2018	8	2	SR	1	l		r	0					
Ajabu	kenya	f	old chimps	10	22/11/2018	8	2	SR	2	r		r	1		yes			
Ajabu	kenya	f	old chimps	10	22/11/2018	8	2	SR	3	l		r	0		yes			
Ajabu	kenya	f	old chimps	10	22/11/2018	8	2	SR	4	r		l	0		yes			
Ajabu	kenya	f	old chimps	10	22/11/2018	8	2	SR	5	l		r	0		yes			
Ajabu	kenya	f	old chimps	10	22/11/2018	8	2	SR	6	l		r	0		no			
Ajabu	kenya	f	old chimps	10	22/11/2018	8	2	SR	7	r		r	1		yes			
Ajabu	kenya	f	old chimps	10	22/11/2018	8	2	SR	8	r		l	0		no			
Ajabu	kenya	f	old chimps	10	22/11/2018	8	2	SR	9	l		r	0		yes			
Ajabu	kenya	f	old chimps	10	22/11/2018	8	2	SR	10	r		l	0		yes			
Ajabu	kenya	f	old chimps	10	22/11/2018	8	2	SR	11	l		r	0		yes			
Ajabu	kenya	f	old chimps	10	22/11/2018	8	2	SR	12	l		r	0		no			
Ajabu	kenya	f	old chimps	10	22/11/2018	8	2	SR	13	r		l	0		yes			
Ajabu	kenya	f	old chimps	10	22/11/2018	8	2	SR	14	l		r	0		yes			
Ajabu	kenya	f	old chimps	10	22/11/2018	8	2	SR	15	r		l	0		yes			
