Subject	Site	Sex	Group	Age	Date	Day	Session	Condition	trial_number	Side	Distractor_left	Distractor_right	Platform	chosen_level	chose_side	correct	Comment	Level mistakes	Switches	Chosen_distractor	switching_mistakes
William	kenya	m	young chimps	18	25/10/2018	16	1	Training01	1	l			1		l	1					
William	kenya	m	young chimps	18	25/10/2018	16	1	Training01	2	r			1		r	1					
William	kenya	m	young chimps	18	25/10/2018	16	1	Training01	3	l			1		l	1					
William	kenya	m	young chimps	18	25/10/2018	16	1	Training01	4	r			2		r	1					
William	kenya	m	young chimps	18	25/10/2018	16	1	Training01	5	l			2		r	0					
William	kenya	m	young chimps	18	25/10/2018	16	1	Training01	6	r			2		r	1					
William	kenya	m	young chimps	18	25/10/2018	16	1	Training01	7	l			2		r	0					
William	kenya	m	young chimps	18	25/10/2018	16	1	Training01	8	r			2		r	1					
William	kenya	m	young chimps	18	25/10/2018	16	1	Training01	9	r			2		r	1					
William	kenya	m	young chimps	18	25/10/2018	16	1	Training01	10	l			2		r	0					
William	kenya	m	young chimps	18	25/10/2018	16	1	Training01	11	r			2		r	1					
William	kenya	m	young chimps	18	25/10/2018	16	1	Training01	12	l			2		r	0					
William	kenya	m	young chimps	18	25/10/2018	16	1	Training01	13	r			2		l	0					
William	kenya	m	young chimps	18	25/10/2018	16	1	Training01	14	r			2		r	1					
William	kenya	m	young chimps	18	25/10/2018	16	1	Training01	15	l			2		l	1					
William	kenya	m	young chimps	18	25/10/2018	16	1	Training01	16	l			2		l	1					
Tess	kenya	f	young chimps	26	25/10/2018	16	1	Training01	1	r			1		r	1					
Tess	kenya	f	young chimps	26	25/10/2018	16	1	Training01	2	l			1		l	1					
Tess	kenya	f	young chimps	26	25/10/2018	16	1	Training01	3	r			1		r	1					
Tess	kenya	f	young chimps	26	25/10/2018	16	1	Training01	4	r			2		l	0					
Tess	kenya	f	young chimps	26	25/10/2018	16	1	Training01	5	l			2		l	1					
Tess	kenya	f	young chimps	26	25/10/2018	16	1	Training01	6	r			2		r	1					
Tess	kenya	f	young chimps	26	25/10/2018	16	1	Training01	7	l			2		r	0					
Tess	kenya	f	young chimps	26	25/10/2018	16	1	Training01	8	r			2		r	1					
Tess	kenya	f	young chimps	26	25/10/2018	16	1	Training01	9	r			2		r	1					
Tess	kenya	f	young chimps	26	25/10/2018	16	1	Training01	10	l			2		r	0					
Tess	kenya	f	young chimps	26	25/10/2018	16	1	Training01	11	r			2		r	1					
Tess	kenya	f	young chimps	26	25/10/2018	16	1	Training01	12	l			2		l	1					
Tess	kenya	f	young chimps	26	25/10/2018	16	1	Training01	13	r			2		r	1					
Amizero	kenya	f	young chimps	29	25/10/2018	16	1	Training01	1	l			1		r	0					
Amizero	kenya	f	young chimps	29	25/10/2018	16	1	Training01	2	r			1		r	1					
Amizero	kenya	f	young chimps	29	25/10/2018	16	1	Training01	3	l			1		r	0					
Amizero	kenya	f	young chimps	29	25/10/2018	16	1	Training01	4	r			1		r	1					
Amizero	kenya	f	young chimps	29	25/10/2018	16	1	Training01	5	l			1		l	1					
Amizero	kenya	f	young chimps	29	25/10/2018	16	1	Training01	6	r			1		r	1					
Amizero	kenya	f	young chimps	29	25/10/2018	16	1	Training01	7	l			2		l	1					
Amizero	kenya	f	young chimps	29	25/10/2018	16	1	Training01	8	r			2		l	0					
Amizero	kenya	f	young chimps	29	25/10/2018	16	1	Training01	9	r			2		l	0					
Amizero	kenya	f	young chimps	29	25/10/2018	16	1	Training01	10	l			2		l	1					
Amizero	kenya	f	young chimps	29	25/10/2018	16	1	Training01	11	r			2		r	1					
