Subject	Site	Gender	Group	Age	Date	Trial	Type	Grid	2ndtask_initial	2ndtask_end	NrUntilfindGrid	choice P2	corr P2	choice01	choice01_x	choice01_y	food_x	food_y	distance_c01	choice1_correct	choice02	choice03	choice04	choice05	choice06	choice07	choice08	choice09	choice10	choice11	choice12	choice13	choice14	choice15	choice16	choice17	choice18	choice19	choice20	choice21	choice22	choice23	choice24	choice25	choice26	choice27	choice28	choice29	choice30	choice31	choice32	choice33	choice34	choice35	choice36	choice37	choice38	choice39	choice40	choice41	choice42	choice43	choice44	choice45	choice46	choice47	choice48	choice49	choice50	choice51	choice52	choice53	choice54	choice55	choice56	choice57	choice58	choice59	choice60
William	kenya	m	young chimps	18		1	warm-up	8			1			8	4	2	4	2	0	1																																																											
William	kenya	m	young chimps	18		2	warm-up	3			9			8	4	2	3	1	1.414213562	0	7	6	5	16	12	8	4	3																																																			
William	kenya	m	young chimps	18		1	test	9	1	2	4	2	1	6	2	2	1	3	1.414213562	0	7	8	9																																																								
William	kenya	m	young chimps	18		2	test	6	3	1	1	1	1	6	2	2	2	2	0	1																																																											
William	kenya	m	young chimps	18		3	test	10	2	3	6	3	1	5	1	2	2	3	1.414213562	0	6	7	8	11	10																																																						
William	kenya	m	young chimps	18		4	test	12	3	2	13	2	1	10	2	3	4	3	2	0	11	6	5	3	4	15	14	13	9	10	11	12																																															
William	kenya	m	young chimps	18		5	test	2	2	1	4	2	0	6	2	2	2	1	1	0	7	5	2																																																								
William	kenya	m	young chimps	18		6	test	11	1	3	11	3	1	10	2	3	3	3	1	0	9	5	3	4	2	1	7	8	12	11																																																	
William	kenya	m	young chimps	18		7	test	5	1	2	1	2	1	6	2	2	1	2	1	0	5																																																										
William	kenya	m	young chimps	18		8	test	3	3	2	3	3	0	6	2	2	3	1	1.414213562	0	7	3																																																									
